Title,Artist
The Breaks,Kurtis Blow
Basketball,Kurtis Blow
Rapper's Delight,The Sugarhill Gang
Apache,The Sugarhill Gang
The Message,Grandmaster Flash & The Furious Five
White Lines (Don't Do It),Grandmaster Flash & Melle Mel
Planet Rock,Afrika Bambaataa & The Soulsonic Force
Looking for the Perfect Beat,Afrika Bambaataa & The Soulsonic Force
Jam On It,Newcleus
Egypt Egypt,The Egyptian Lover
Hip Hop Be Bop (Don't Stop),Man Parrish
Al-Naafiysh (The Soul),Hashim
Break Dance - Electric Boogie,West Street Mob
Sucker M.C.'s,Run-D.M.C.
It's Like That,Run-D.M.C.
Rock Box,Run-D.M.C.
King of Rock,Run-D.M.C.
My Adidas,Run-D.M.C.
Walk This Way,Run-D.M.C.
Peter Piper,Run-D.M.C.
It's Tricky,Run-D.M.C.
Run's House,Run-D.M.C.
Beats to the Rhyme,Run-D.M.C.
I Can't Live Without My Radio,LL COOL J
Rock the Bells,LL COOL J
I'm Bad,LL COOL J
I Need Love,LL COOL J
Going Back to Cali,LL COOL J
Jack the Ripper,LL COOL J
Public Enemy No. 1,Public Enemy
Rebel Without a Pause,Public Enemy
Bring the Noise,Public Enemy
Don't Believe the Hype,Public Enemy
Night of the Living Baseheads,Public Enemy
Fight the Power,Public Enemy
Eric B. Is President,Eric B. & Rakim
I Ain't No Joke,Eric B. & Rakim
I Know You Got Soul,Eric B. & Rakim
Paid in Full,Eric B. & Rakim
Microphone Fiend,Eric B. & Rakim
Follow the Leader,Eric B. & Rakim
Lyrics of Fury,Eric B. & Rakim
It's My Thing,EPMD
You Gots to Chill,EPMD
Strictly Business,EPMD
So Wat Cha Sayin',EPMD
South Bronx,Boogie Down Productions
The Bridge Is Over,Boogie Down Productions
My Philosophy,Boogie Down Productions
Stop the Violence,Boogie Down Productions
Raw,Big Daddy Kane
Ain't No Half-Steppin',Big Daddy Kane
Smooth Operator,Big Daddy Kane
Warm It Up Kane,Big Daddy Kane
Children's Story,Slick Rick
Mona Lisa,Slick Rick
Hey Young World,Slick Rick
La Di Da Di,Doug E. Fresh & Slick Rick
The Show,Doug E. Fresh & Slick Rick
Vapors,Biz Markie
Just a Friend,Biz Markie
Make the Music With Your Mouth Biz,Biz Markie
Nobody Beats the Biz,Biz Markie
Friends,Whodini
Five Minutes of Funk,Whodini
Freaks Come Out at Night,Whodini
One Love,Whodini
Big Mouth,Whodini
Roxanne Roxanne,UTFO
Roxanne's Revenge,Roxanne Shante
Have a Nice Day,Roxanne Shante
The Symphony,Marley Marl
Paper Thin,MC Lyte
Cha Cha Cha,MC Lyte
Lyte as a Rock,MC Lyte
Ladies First,Queen Latifah
Wrath of My Madness,Queen Latifah
Dance for Me,Queen Latifah
Push It,Salt-N-Pepa
Tramp,Salt-N-Pepa
Shake Your Thang,Salt-N-Pepa
My Mic Sounds Nice,Salt-N-Pepa
Supersonic,J.J. Fad
It Takes Two,Rob Base & DJ EZ Rock
Joy and Pain,Rob Base & DJ EZ Rock
Get on the Dance Floor,Rob Base & DJ EZ Rock
Wild Thing,Tone Loc
Funky Cold Medina,Tone Loc
Bust a Move,Young MC
Principal's Office,Young MC
Fight For Your Right,Beastie Boys
No Sleep Till Brooklyn,Beastie Boys
Brass Monkey,Beastie Boys
Paul Revere,Beastie Boys
Hold It Now Hit It,Beastie Boys
Shake Your Rump,Beastie Boys
Straight Outta Compton,N.W.A.
Express Yourself,N.W.A.
Gangsta Gangsta,N.W.A.
Fuck Tha Police,N.W.A.
Dopeman,N.W.A.
Boyz-n-the-Hood,Eazy-E
We Want Eazy,Eazy-E
Eazy-Duz-It,Eazy-E
6 'N the Mornin',Ice-T
I'm Your Pusher,Ice-T
Colors,Ice-T
Freaky Tales,Too $hort
Life Is...Too Short,Too $hort
Posse on Broadway,Sir Mix-A-Lot
Buttermilk Biscuits (Keep on Square Dancin'),Sir Mix-A-Lot
Me So Horny,2 Live Crew
We Want Some Pussy,2 Live Crew
Sally (That Girl),2 Live Crew
Throw the 'D',2 Live Crew
Parents Just Don't Understand,DJ Jazzy Jeff & The Fresh Prince
Girls Ain't Nothing but Trouble,DJ Jazzy Jeff & The Fresh Prince
Brand New Funk,DJ Jazzy Jeff & The Fresh Prince
Jail House Rap,Fat Boys
Can You Feel It,Fat Boys
The Twist,Fat Boys
Wipeout,Fat Boys
Doowutchyalike,Digital Underground
Me Myself and I,De La Soul
Say No Go,De La Soul
Eye Know,De La Soul
I'll House You,Jungle Brothers
Straight Out the Jungle,Jungle Brothers
The Gas Face,3rd Bass
Steppin' to the A.M.,3rd Bass
Talkin' All That Jazz,Stetsasonic
Go Stetsa I,Stetsasonic
Rollin' with Kid 'n Play,Kid 'n Play
Gittin' Funky,Kid 'n Play
The Overweight Lover's in the House,Heavy D & The Boyz
We Got Our Own Thang,Heavy D & The Boyz
Somebody for Me,Heavy D & The Boyz
I Want Her,Keith Sweat
Make It Last Forever,Keith Sweat
Something Just Ain't Right,Keith Sweat
Don't Stop Your Love,Keith Sweat
My Prerogative,Bobby Brown
Every Little Step,Bobby Brown
Don't Be Cruel,Bobby Brown
Roni,Bobby Brown
Rock Wit'cha,Bobby Brown
Mamacita,Troop
My Heart,Troop
Spread My Wings,Troop
All I Do Is Think of You,Troop
Groove Me,Guy
I Like,Guy
Teddy's Jam,Guy
If It Isn't Love,New Edition
Can You Stand the Rain,New Edition
You're Not My Kind of Girl,New Edition
Nite and Day,Al B. Sure!
Off on Your Own (Girl),Al B. Sure!
Just Got Paid,Johnny Kemp
Oh Sheila,Ready For The World
Digital Display,Ready For The World
Love You Down,Ready For The World
Wishing Well,Terence Trent D'Arby
Sign Your Name,Terence Trent D'Arby
Dance Little Sister,Terence Trent D'Arby
If You Let Me Stay,Terence Trent D'Arby
Back to Life,Soul II Soul
Keep On Movin',Soul II Soul
