Title,Artist,Album,Year
Rapper's Delight,The Sugarhill Gang,Sugarhill Gang,1979
The Breaks,Kurtis Blow,Kurtis Blow,1980
Christmas Rappin',Kurtis Blow,Kurtis Blow,1979
Hard Times,Kurtis Blow,Kurtis Blow,1980
Throughout Your Years,Kurtis Blow,Kurtis Blow,1980
Basketball,Kurtis Blow,Ego Trip,1984
If I Ruled the World,Kurtis Blow,America,1985
8th Wonder,The Sugarhill Gang,8th Wonder,1981
Apache,The Sugarhill Gang,8th Wonder,1981
Showdown,The Sugarhill Gang,8th Wonder,1981
The Message,Grandmaster Flash & The Furious Five,The Message,1982
Scorpio,Grandmaster Flash & The Furious Five,The Message,1982
It's Nasty (Genius of Love),Grandmaster Flash & The Furious Five,The Message,1981
New York New York,Grandmaster Flash & The Furious Five,Grandmaster Flash & The Furious Five,1983
White Lines (Don't Don't Do It),Grandmaster Flash & Melle Mel,White Lines,1983
Beat Street Breakdown,Grandmaster Melle Mel,Beat Street,1984
The Adventures of Grandmaster Flash on the Wheels of Steel,Grandmaster Flash,The Adventures of Grandmaster Flash on the Wheels of Steel,1981
That's the Joint,Funky 4 + 1,That's the Joint,1980
Funk You Up,The Sequence,The Sequence,1979
Monster Jam,Spoonie Gee Meets The Sequence,Monster Jam,1980
Love Rap,Spoonie Gee,Love Rap,1980
Spoonin' Rap,Spoonie Gee,Spoonin' Rap,1980
The New Rap Language,Spoonie Gee & The Treacherous Three,The New Rap Language,1980
Feel the Heartbeat,The Treacherous Three,Feel the Heartbeat,1981
At the Party,The Treacherous Three,At the Party,1980
Action,The Treacherous Three,Action,1981
Yes We Can-Can,The Treacherous Three,Yes We Can-Can,1982
The Body Rock,The Treacherous Three,The Body Rock,1980
Rockin' It,The Fearless Four,Rockin' It,1982
Problems of the World,The Fearless Four,Problems of the World,1983
It's Magic,The Fearless Four,It's Magic,1982
Cold Crush Brothers at the Dixie,Cold Crush Brothers,Cold Crush Brothers at the Dixie,1981
"Fresh, Wild, Fly and Bold",Cold Crush Brothers,"Fresh, Wild, Fly and Bold",1984
The Roof Is on Fire,Rock Master Scott & The Dynamic Three,Request Line,1984
Request Line,Rock Master Scott & The Dynamic Three,Request Line,1984
Hey DJ,The World's Famous Supreme Team,Hey DJ,1984
Buffalo Gals,Malcolm McLaren,Duck Rock,1982
Hobo Scratch,Malcolm McLaren,Duck Rock,1983
