Title,Artist,Album,Year
Smells Like Teen Spirit,Nirvana,Nevermind,1991
Come As You Are,Nirvana,Nevermind,1991
Lithium,Nirvana,Nevermind,1991
In Bloom,Nirvana,Nevermind,1991
Breed,Nirvana,Nevermind,1991
Heart-Shaped Box,Nirvana,In Utero,1993
All Apologies,Nirvana,In Utero,1993
Rape Me,Nirvana,In Utero,1993
About a Girl,Nirvana,MTV Unplugged in New York,1994
Sliver,Nirvana,Incesticide,1992
Alive,Pearl Jam,Ten,1991
Even Flow,Pearl Jam,Ten,1991
Jeremy,Pearl Jam,Ten,1991
Black,Pearl Jam,Ten,1991
Porch,Pearl Jam,Ten,1991
Daughter,Pearl Jam,Vs.,1993
Animal,Pearl Jam,Vs.,1993
Rearviewmirror,Pearl Jam,Vs.,1993
Better Man,Pearl Jam,Vitalogy,1994
Corduroy,Pearl Jam,Vitalogy,1994
Not for You,Pearl Jam,Vitalogy,1994
Given to Fly,Pearl Jam,Yield,1998
Do the Evolution,Pearl Jam,Yield,1998
Rusty Cage,Soundgarden,Badmotorfinger,1991
Outshined,Soundgarden,Badmotorfinger,1991
Jesus Christ Pose,Soundgarden,Badmotorfinger,1991
Spoonman,Soundgarden,Superunknown,1994
Black Hole Sun,Soundgarden,Superunknown,1994
Fell on Black Days,Soundgarden,Superunknown,1994
The Day I Tried to Live,Soundgarden,Superunknown,1994
Burden in My Hand,Soundgarden,Down on the Upside,1996
Blow Up the Outside World,Soundgarden,Down on the Upside,1996
Man in the Box,Alice In Chains,Facelift,1990
Sea of Sorrow,Alice In Chains,Facelift,1990
Would?,Alice In Chains,Dirt,1992
Them Bones,Alice In Chains,Dirt,1992
Rooster,Alice In Chains,Dirt,1992
Angry Chair,Alice In Chains,Dirt,1992
Down in a Hole,Alice In Chains,Dirt,1992
No Excuses,Alice In Chains,Jar of Flies,1994
I Stay Away,Alice In Chains,Jar of Flies,1994
Heaven Beside You,Alice In Chains,Alice In Chains,1995
Again,Alice In Chains,Alice In Chains,1995
Sex Type Thing,Stone Temple Pilots,Core,1992
Plush,Stone Temple Pilots,Core,1992
Creep,Stone Temple Pilots,Core,1992
Wicked Garden,Stone Temple Pilots,Core,1992
Interstate Love Song,Stone Temple Pilots,Purple,1994
Vasoline,Stone Temple Pilots,Purple,1994
Big Empty,Stone Temple Pilots,Purple,1994
Unglued,Stone Temple Pilots,Purple,1994
Trippin' on a Hole in a Paper Heart,Stone Temple Pilots,Tiny Music... Songs from the Vatican Gift Shop,1996
Sour Girl,Stone Temple Pilots,No. 4,1999
Cherub Rock,The Smashing Pumpkins,Siamese Dream,1993
Today,The Smashing Pumpkins,Siamese Dream,1993
Disarm,The Smashing Pumpkins,Siamese Dream,1993
