Title,Artist,Album,Year
Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,Gonna Make You Sweat,1990
Everybody Everybody,Black Box,Dreamland,1990
Groove Is in the Heart,Deee-Lite,World Clique,1990
Vogue,Madonna,I'm Breathless,1990
3 A.M. Eternal,The KLF,The White Room,1991
Gypsy Woman (She's Homeless),Crystal Waters,Surprise,1991
Unbelievable,EMF,Schubert Dip,1991
Right Here Right Now,Jesus Jones,Doubt,1991
Finally,CeCe Peniston,Finally,1992
Rhythm Is a Dancer,SNAP!,The Madman's Return,1992
Get Ready for This,2 Unlimited,Get Ready!,1992
Everybody's Free (To Feel Good),Rozalla,Everybody's Free,1992
It's My Life,Dr. Alban,One Love,1992
Ebeneezer Goode,The Shamen,Boss Drum,1992
Too Funky,George Michael,Red Hot + Dance,1992
Show Me Love,Robin S,Show Me Love,1993
What Is Love,Haddaway,The Album,1993
Mr. Vain,Culture Beat,Serenity,1993
No Limit,2 Unlimited,No Limits,1993
More and More,Captain Hollywood Project,Love Is Not Sex,1993
Moving on Up,M People,Elegant Slumming,1993
One Night in Heaven,M People,Elegant Slumming,1993
Go West,Pet Shop Boys,Very,1993
Supermodel (You Better Work),RuPaul,Supermodel of the World,1993
I Like to Move It,Reel 2 Real,Move It!,1994
Get-A-Way,Maxx,To the Maxximum,1994
Always,Erasure,I Say I Say I Say,1994
Another Night,Real McCoy,Another Night,1995
Run Away,Real McCoy,Another Night,1995
Be My Lover,La Bouche,Sweet Dreams,1995
Sweet Dreams,La Bouche,Sweet Dreams,1995
The Rhythm of the Night,Corona,The Rhythm of the Night,1995
Baby Baby,Corona,The Rhythm of the Night,1995
Scatman (Ski-Ba-Bop-Ba-Dop-Bop),Scatman John,Scatman's World,1995
Beautiful Life,Ace of Base,The Bridge,1995
Saturday Night,Whigfield,Whigfield,1995
Push the Feeling On,Nightcrawlers,Let's Push It,1995
Dreamer,Livin' Joy,Don't Stop Movin',1996
Insomnia,Faithless,Reverence,1996
Children,Robert Miles,Dreamland,1996
Ready to Go,Republica,Republica,1996
This Is Your Night,Amber,This Is Your Night,1996
Around the World,Daft Punk,Homework,1997
Ooh Aah... Just a Little Bit,Gina G,Fresh!,1997
Free,Ultra Naté,Situation: Critical,1997
Barbie Girl,Aqua,Aquarium,1997
Ray of Light,Madonna,Ray of Light,1998
Believe,Cher,Believe,1998
Music Sounds Better with You,Stardust,Music Sounds Better with You,1998
Waiting for Tonight,Jennifer Lopez,On the 6,1999
Blue (Da Ba Dee),Eiffel 65,Europop,1999
We Like to Party! (The Vengabus),Vengaboys,The Party Album!,1999
9 PM (Till I Come),ATB,Movin' Melodies,1999
Red Alert,Basement Jaxx,Remedy,1999
You Don't Know Me,Armand Van Helden,2 Future 4 U,1999
