Title,Artist,Album,Year
It's a Long Way to the Top (If You Wanna Rock 'n' Roll),AC/DC,High Voltage,1976
High Voltage,AC/DC,High Voltage,1976
T.N.T.,AC/DC,High Voltage,1976
Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,1976
Jailbreak,AC/DC,'74 Jailbreak,1984
Let There Be Rock,AC/DC,Let There Be Rock,1977
Whole Lotta Rosie,AC/DC,Let There Be Rock,1977
Rocker,AC/DC,T.N.T.,1975
Highway to Hell,AC/DC,Highway to Hell,1979
Touch Too Much,AC/DC,Highway to Hell,1979
Shot Down in Flames,AC/DC,Highway to Hell,1979
If You Want Blood (You've Got It),AC/DC,Highway to Hell,1979
Hells Bells,AC/DC,Back in Black,1980
Back in Black,AC/DC,Back in Black,1980
Shoot to Thrill,AC/DC,Back in Black,1980
You Shook Me All Night Long,AC/DC,Back in Black,1980
Rock and Roll Ain't Noise Pollution,AC/DC,Back in Black,1980
What Do You Do for Money Honey,AC/DC,Back in Black,1980
Givin the Dog a Bone,AC/DC,Back in Black,1980
Have a Drink on Me,AC/DC,Back in Black,1980
For Those About to Rock (We Salute You),AC/DC,For Those About to Rock We Salute You,1981
Let's Get It Up,AC/DC,For Those About to Rock We Salute You,1981
Flick of the Switch,AC/DC,Flick of the Switch,1983
Nervous Shakedown,AC/DC,Flick of the Switch,1983
Thunderstruck,AC/DC,The Razors Edge,1990
Moneytalks,AC/DC,The Razors Edge,1990
Fire Your Guns,AC/DC,The Razors Edge,1990
Are You Ready,AC/DC,The Razors Edge,1990
Big Gun,AC/DC,Last Action Hero,1993
Hard as a Rock,AC/DC,Ballbreaker,1995
Ballbreaker,AC/DC,Ballbreaker,1995
Stiff Upper Lip,AC/DC,Stiff Upper Lip,2000
Safe in New York City,AC/DC,Stiff Upper Lip,2000
Rock 'n' Roll Train,AC/DC,Black Ice,2008
War Machine,AC/DC,Black Ice,2008
Black Ice,AC/DC,Black Ice,2008
Play Ball,AC/DC,Rock or Bust,2014
Rock the Blues Away,AC/DC,Rock or Bust,2014
Shot in the Dark,AC/DC,Power Up,2020
Demon Fire,AC/DC,Power Up,2020
