Title,Artist,Album,Year
I Saw Her Standing There,The Beatles,Please Please Me,1963
Please Please Me,The Beatles,Please Please Me,1963
Love Me Do,The Beatles,Please Please Me,1963
P.S. I Love You,The Beatles,Please Please Me,1963
Do You Want to Know a Secret,The Beatles,Please Please Me,1963
Twist and Shout,The Beatles,Please Please Me,1963
It Won't Be Long,The Beatles,With The Beatles,1963
All My Loving,The Beatles,With The Beatles,1963
Till There Was You,The Beatles,With The Beatles,1963
Please Mister Postman,The Beatles,With The Beatles,1963
Roll Over Beethoven,The Beatles,With The Beatles,1963
You Really Got a Hold on Me,The Beatles,With The Beatles,1963
Money (That's What I Want),The Beatles,With The Beatles,1963
She Loves You,The Beatles,Past Masters,1963
I Want to Hold Your Hand,The Beatles,Past Masters,1963
From Me to You,The Beatles,Past Masters,1963
A Hard Day's Night,The Beatles,A Hard Day's Night,1964
I Should Have Known Better,The Beatles,A Hard Day's Night,1964
If I Fell,The Beatles,A Hard Day's Night,1964
And I Love Her,The Beatles,A Hard Day's Night,1964
Can't Buy Me Love,The Beatles,A Hard Day's Night,1964
Things We Said Today,The Beatles,A Hard Day's Night,1964
You Can't Do That,The Beatles,A Hard Day's Night,1964
I'll Be Back,The Beatles,A Hard Day's Night,1964
No Reply,The Beatles,Beatles for Sale,1964
I'm a Loser,The Beatles,Beatles for Sale,1964
Baby's in Black,The Beatles,Beatles for Sale,1964
Rock and Roll Music,The Beatles,Beatles for Sale,1964
I'll Follow the Sun,The Beatles,Beatles for Sale,1964
Eight Days a Week,The Beatles,Beatles for Sale,1964
Words of Love,The Beatles,Beatles for Sale,1964
I Don't Want to Spoil the Party,The Beatles,Beatles for Sale,1964
What You're Doing,The Beatles,Beatles for Sale,1964
Help!,The Beatles,Help!,1965
The Night Before,The Beatles,Help!,1965
You've Got to Hide Your Love Away,The Beatles,Help!,1965
I Need You,The Beatles,Help!,1965
Ticket to Ride,The Beatles,Help!,1965
It's Only Love,The Beatles,Help!,1965
I've Just Seen a Face,The Beatles,Help!,1965
Yesterday,The Beatles,Help!,1965
Drive My Car,The Beatles,Rubber Soul,1965
Norwegian Wood (This Bird Has Flown),The Beatles,Rubber Soul,1965
You Won't See Me,The Beatles,Rubber Soul,1965
Nowhere Man,The Beatles,Rubber Soul,1965
Think for Yourself,The Beatles,Rubber Soul,1965
The Word,The Beatles,Rubber Soul,1965
Michelle,The Beatles,Rubber Soul,1965
Girl,The Beatles,Rubber Soul,1965
I'm Looking Through You,The Beatles,Rubber Soul,1965
In My Life,The Beatles,Rubber Soul,1965
If I Needed Someone,The Beatles,Rubber Soul,1965
Day Tripper,The Beatles,Past Masters,1965
We Can Work It Out,The Beatles,Past Masters,1965
Paperback Writer,The Beatles,Past Masters,1966
Rain,The Beatles,Past Masters,1966
Taxman,The Beatles,Revolver,1966
Eleanor Rigby,The Beatles,Revolver,1966
I'm Only Sleeping,The Beatles,Revolver,1966
Love You To,The Beatles,Revolver,1966
"Here, There and Everywhere",The Beatles,Revolver,1966
Yellow Submarine,The Beatles,Revolver,1966
She Said She Said,The Beatles,Revolver,1966
Good Day Sunshine,The Beatles,Revolver,1966
And Your Bird Can Sing,The Beatles,Revolver,1966
For No One,The Beatles,Revolver,1966
Got to Get You into My Life,The Beatles,Revolver,1966
Tomorrow Never Knows,The Beatles,Revolver,1966
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1967
With a Little Help from My Friends,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1967
Lucy in the Sky with Diamonds,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1967
Getting Better,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1967
Fixing a Hole,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1967
She's Leaving Home,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1967
Being for the Benefit of Mr. Kite!,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1967
Within You Without You,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1967
When I'm Sixty-Four,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1967
Lovely Rita,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1967
Good Morning Good Morning,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1967
Sgt. Pepper's Lonely Hearts Club Band (Reprise),The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1967
A Day in the Life,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1967
Magical Mystery Tour,The Beatles,Magical Mystery Tour,1967
The Fool on the Hill,The Beatles,Magical Mystery Tour,1967
Flying,The Beatles,Magical Mystery Tour,1967
Blue Jay Way,The Beatles,Magical Mystery Tour,1967
