Title,Artist,Album,Year
Three Little Birds,Bob Marley & The Wailers,Exodus,1977
Could You Be Loved,Bob Marley & The Wailers,Uprising,1980
Is This Love,Bob Marley & The Wailers,Kaya,1978
One Love / People Get Ready,Bob Marley & The Wailers,Exodus,1977
Jammin',Bob Marley & The Wailers,Exodus,1977
Waiting in Vain,Bob Marley & The Wailers,Exodus,1977
Stir It Up,Bob Marley & The Wailers,Catch a Fire,1973
No Woman No Cry,Bob Marley & The Wailers,Live!,1975
Buffalo Soldier,Bob Marley & The Wailers,Confrontation,1983
Redemption Song,Bob Marley & The Wailers,Uprising,1980
Pressure Drop,Toots & The Maytals,Monkey Man,1970
54-46 That's My Number,Toots & The Maytals,Sweet and Dandy,1969
Funky Kingston,Toots & The Maytals,Funky Kingston,1973
Sweet and Dandy,Toots & The Maytals,Sweet and Dandy,1969
The Harder They Come,Jimmy Cliff,The Harder They Come,1972
Many Rivers to Cross,Jimmy Cliff,Jimmy Cliff,1969
You Can Get It If You Really Want,Jimmy Cliff,The Harder They Come,1972
Wonderful World Beautiful People,Jimmy Cliff,Jimmy Cliff,1969
I Can See Clearly Now,Jimmy Cliff,Cool Runnings,1993
Rivers of Babylon,The Melodians,Rivers of Babylon,1970
Israelites,Desmond Dekker,The Israelites,1968
007 (Shanty Town),Desmond Dekker,The Israelites,1967
Montego Bay,Bobby Bloom,Montego Bay,1970
Everything I Own,Ken Boothe,Everything I Own,1974
Tide Is High,The Paragons,On the Beach,1967
Book of Rules,The Heptones,Night Food,1976
Police and Thieves,Junior Murvin,Police and Thieves,1977
Cherry Oh Baby,Eric Donaldson,Cherry Oh Baby,1971
Uptown Top Ranking,Althea & Donna,Uptown Top Ranking,1977
Bam Bam,Sister Nancy,One Two,1982
Here I Come,Barrington Levy,Here I Come,1984
Under Mi Sensi,Barrington Levy,Here I Come,1984
Murder She Wrote,Chaka Demus & Pliers,Tease Me,1992
Tease Me,Chaka Demus & Pliers,Tease Me,1993
Twist and Shout,Chaka Demus & Pliers,Tease Me,1993
Oh Carolina,Shaggy,Pure Pleasure,1993
Boombastic,Shaggy,Boombastic,1995
It Wasn't Me,Shaggy feat. Rikrok,Hot Shot,2000
Angel,Shaggy feat. Rayvon,Hot Shot,2000
Mr. Loverman,Shabba Ranks,Rough & Ready Volume 1,1992
Ting-A-Ling,Shabba Ranks,X-tra Naked,1992
Who Am I (Sim Simma),Beenie Man,Many Moods of Moses,1997
Dude,Beenie Man feat. Ms. Thing,Tropical Storm,2002
Girls Dem Sugar,Beenie Man feat. Mýa,Art and Life,2000
Champion,Buju Banton,Voice of Jamaica,1995
Wanna Be Loved,Buju Banton,Til Shiloh,1995
Everyone Falls in Love,Tanto Metro & Devonte,Everyone Falls in Love,1997
No Letting Go,Wayne Wonder,No Holding Back,2003
Tempted to Touch,Rupee,1 on 1,2004
