Title,Artist,Album,Year
Just Can't Get Enough,Depeche Mode,Speak & Spell,1981
New Life,Depeche Mode,Speak & Spell,1981
Dreaming of Me,Depeche Mode,Speak & Spell,1981
Photographic,Depeche Mode,Speak & Spell,1981
See You,Depeche Mode,A Broken Frame,1982
The Meaning of Love,Depeche Mode,A Broken Frame,1982
Leave in Silence,Depeche Mode,A Broken Frame,1982
Get the Balance Right!,Depeche Mode,The Singles 81→85,1983
Everything Counts,Depeche Mode,Construction Time Again,1983
Love in Itself,Depeche Mode,Construction Time Again,1983
Pipeline,Depeche Mode,Construction Time Again,1983
People Are People,Depeche Mode,Some Great Reward,1984
Master and Servant,Depeche Mode,Some Great Reward,1984
Blasphemous Rumours,Depeche Mode,Some Great Reward,1984
Somebody,Depeche Mode,Some Great Reward,1984
Shake the Disease,Depeche Mode,The Singles 81→85,1985
It's Called a Heart,Depeche Mode,The Singles 81→85,1985
Stripped,Depeche Mode,Black Celebration,1986
A Question of Time,Depeche Mode,Black Celebration,1986
A Question of Lust,Depeche Mode,Black Celebration,1986
Black Celebration,Depeche Mode,Black Celebration,1986
Fly on the Windscreen,Depeche Mode,Black Celebration,1986
But Not Tonight,Depeche Mode,Black Celebration,1986
Strangelove,Depeche Mode,Music for the Masses,1987
Never Let Me Down Again,Depeche Mode,Music for the Masses,1987
Behind the Wheel,Depeche Mode,Music for the Masses,1987
Little 15,Depeche Mode,Music for the Masses,1987
Nothing,Depeche Mode,Music for the Masses,1987
Route 66,Depeche Mode,Behind the Wheel,1987
Personal Jesus,Depeche Mode,Violator,1989
Enjoy the Silence,Depeche Mode,Violator,1990
Policy of Truth,Depeche Mode,Violator,1990
World in My Eyes,Depeche Mode,Violator,1990
Halo,Depeche Mode,Violator,1990
Waiting for the Night,Depeche Mode,Violator,1990
Clean,Depeche Mode,Violator,1990
I Feel You,Depeche Mode,Songs of Faith and Devotion,1993
Walking in My Shoes,Depeche Mode,Songs of Faith and Devotion,1993
Condemnation,Depeche Mode,Songs of Faith and Devotion,1993
In Your Room,Depeche Mode,Songs of Faith and Devotion,1993
Higher Love,Depeche Mode,Songs of Faith and Devotion,1993
Barrel of a Gun,Depeche Mode,Ultra,1997
It's No Good,Depeche Mode,Ultra,1997
Home,Depeche Mode,Ultra,1997
Useless,Depeche Mode,Ultra,1997
Only When I Lose Myself,Depeche Mode,The Singles 86>98,1998
Dream On,Depeche Mode,Exciter,2001
I Feel Loved,Depeche Mode,Exciter,2001
Freelove,Depeche Mode,Exciter,2001
Precious,Depeche Mode,Playing the Angel,2005
A Pain That I'm Used To,Depeche Mode,Playing the Angel,2005
Suffer Well,Depeche Mode,Playing the Angel,2005
John the Revelator,Depeche Mode,Playing the Angel,2005
Wrong,Depeche Mode,Sounds of the Universe,2009
Heaven,Depeche Mode,Delta Machine,2013
Where's the Revolution,Depeche Mode,Spirit,2017
Ghosts Again,Depeche Mode,Memento Mori,2023
My Cosmos Is Mine,Depeche Mode,Memento Mori,2023
Wagging Tongue,Depeche Mode,Memento Mori,2023
Before We Drown,Depeche Mode,Memento Mori,2023
