Title,Artist,Album,Year
La Grange,ZZ Top,Tres Hombres,1973
Tush,ZZ Top,Fandango!,1975
Cheap Sunglasses,ZZ Top,Degüello,1979
I'm Bad I'm Nationwide,ZZ Top,Degüello,1979
Gimme All Your Lovin',ZZ Top,Eliminator,1983
Sharp Dressed Man,ZZ Top,Eliminator,1983
Legs,ZZ Top,Eliminator,1983
Got Me Under Pressure,ZZ Top,Eliminator,1983
Sleeping Bag,ZZ Top,Afterburner,1985
Velcro Fly,ZZ Top,Afterburner,1985
Stages,ZZ Top,Afterburner,1985
Viva Las Vegas,ZZ Top,Viva Las Vegas,1992
Thunder Kiss '65,White Zombie,La Sexorcisto: Devil Music Vol. 1,1992
Black Sunshine,White Zombie,La Sexorcisto: Devil Music Vol. 1,1992
More Human Than Human,White Zombie,Astro-Creep: 2000,1995
Super-Charger Heaven,White Zombie,Astro-Creep: 2000,1995
Electric Head Pt. 2 (The Ecstasy),White Zombie,Astro-Creep: 2000,1995
Dragula,Rob Zombie,Hellbilly Deluxe,1998
Living Dead Girl,Rob Zombie,Hellbilly Deluxe,1998
Superbeast,Rob Zombie,Hellbilly Deluxe,1998
Never Gonna Stop,Rob Zombie,The Sinister Urge,2001
She Sells Sanctuary,The Cult,Love,1985
Rain,The Cult,Love,1985
Love Removal Machine,The Cult,Electric,1987
Wild Flower,The Cult,Electric,1987
Fire Woman,The Cult,Sonic Temple,1989
Sweet Soul Sister,The Cult,Sonic Temple,1989
Edie (Ciao Baby),The Cult,Sonic Temple,1989
No One Knows,Queens of the Stone Age,Songs for the Deaf,2002
Go With the Flow,Queens of the Stone Age,Songs for the Deaf,2002
First It Giveth,Queens of the Stone Age,Songs for the Deaf,2002
A Song for the Dead,Queens of the Stone Age,Songs for the Deaf,2002
Regular John,Queens of the Stone Age,Queens of the Stone Age,1998
Mexicola,Queens of the Stone Age,Queens of the Stone Age,1998
Avon,Queens of the Stone Age,Queens of the Stone Age,1998
The Lost Art of Keeping a Secret,Queens of the Stone Age,Rated R,2000
Feel Good Hit of the Summer,Queens of the Stone Age,Rated R,2000
Monsters in the Parasol,Queens of the Stone Age,Rated R,2000
Little Sister,Queens of the Stone Age,Lullabies to Paralyze,2005
In My Head,Queens of the Stone Age,Lullabies to Paralyze,2005
3's & 7's,Queens of the Stone Age,Eva Vulgaris,2007
Make It Wit Chu,Queens of the Stone Age,Eva Vulgaris,2007
Smooth Sailing,Queens of the Stone Age,...Like Clockwork,2013
I Sat by the Ocean,Queens of the Stone Age,...Like Clockwork,2013
New Fang,Them Crooked Vultures,Them Crooked Vultures,2009
Mind Eraser No Chaser,Them Crooked Vultures,Them Crooked Vultures,2009
Dead End Friends,Them Crooked Vultures,Them Crooked Vultures,2009
Scumbag Blues,Them Crooked Vultures,Them Crooked Vultures,2009
Elephants,Them Crooked Vultures,Them Crooked Vultures,2009
Green Machine,Kyuss,Blues for the Red Sun,1992
Thumb,Kyuss,Blues for the Red Sun,1992
Thong Song,Kyuss,Blues for the Red Sun,1992
50 Million Year Trip (Downside Up),Kyuss,Blues for the Red Sun,1992
Gardenia,Kyuss,Welcome to Sky Valley,1994
Supa Scoopa and Mighty Scoop,Kyuss,Welcome to Sky Valley,1994
Demon Cleaner,Kyuss,Welcome to Sky Valley,1994
Hurricane,Kyuss,...And the Circus Leaves Town,1995
One Inch Man,Kyuss,...And the Circus Leaves Town,1995
Freedom Run,Kyuss,Blues for the Red Sun,1992
Space Cadet,Kyuss,Welcome to Sky Valley,1994
Big Sky,Buﬀalo Tom,Let Me Come Over,1992
King of the Road,Fu Manchu,King of the Road,2000
Evil Eye,Fu Manchu,The Action Is Go,1997
Saturn III,Fu Manchu,The Action Is Go,1997
Hell on Wheels,Fu Manchu,King of the Road,2000
Squash That Fly,Fu Manchu,California Crossing,2001
Mongoose,Fu Manchu,Eatin' Dust,1999
California Crossing,Fu Manchu,California Crossing,2001
Spacegrass,Clutch,Clutch,1995
