Title,Artist,Album,Year
Main Street Electrical Parade (Baroque Hoedown & Disney Medley),Don Dorsey,Disney Parks: Main Street Electrical Parade,1977
Main Street Electrical Parade: Opening Announcement & Fanfare,Don Dorsey,Disney Parks: Main Street Electrical Parade,1977
Main Street Electrical Parade: Closing Announcement & Dispersal Fanfare,Don Dorsey,Disney Parks: Main Street Electrical Parade,1977
Electrical Water Pageant (Synthesizer Suite),Don Dorsey,Walt Disney World: Electrical Water Pageant,1977
IllumiNations: Reflections of Earth (Prologue & Soundscape),Don Dorsey,Epcot: IllumiNations,1999
"Italian Concerto, BWV 971: I. (Allegro)",Don Dorsey,Bachbusters,1985
"Italian Concerto, BWV 971: II. Andante",Don Dorsey,Bachbusters,1985
"Italian Concerto, BWV 971: III. Presto",Don Dorsey,Bachbusters,1985
"Two-Part Invention No. 1 in C Major, BWV 772",Don Dorsey,Bachbusters,1985
"Three-Part Invention No. 1 in C Major, BWV 787",Don Dorsey,Bachbusters,1985
"Two-Part Invention No. 8 in F Major, BWV 779",Don Dorsey,Bachbusters,1985
"Three-Part Invention No. 8 in F Major, BWV 794",Don Dorsey,Bachbusters,1985
"Two-Part Invention No. 10 in G Major, BWV 781",Don Dorsey,Bachbusters,1985
"Three-Part Invention No. 10 in G Major, BWV 796",Don Dorsey,Bachbusters,1985
"Two-Part Invention No. 12 in A Major, BWV 783",Don Dorsey,Bachbusters,1985
"Three-Part Invention No. 12 in A Major, BWV 798",Don Dorsey,Bachbusters,1985
"Two-Part Invention No. 15 in B Minor, BWV 786",Don Dorsey,Bachbusters,1985
"Three-Part Invention No. 15 in B Minor, BWV 801",Don Dorsey,Bachbusters,1985
"Various Canons, BWV 1087 (14 Variations)",Don Dorsey,Bachbusters,1985
"Toccata and Fugue in D Minor, BWV 565: Toccata",Don Dorsey,Bachbusters,1985
"Toccata and Fugue in D Minor, BWV 565: Fugue",Don Dorsey,Bachbusters,1985
"Jesu, Joy of Man's Desiring (Cantata BWV 147)",Don Dorsey,Bachbusters,1985
"Rondo a Capriccio in G Major, Op. 129 'Rage Over a Lost Penny'",Don Dorsey,Beethoven or Bust,1988
"Mixed Bagatelles: Op. 119 No. 6, Op. 126 No. 2, Op. 33 No. 7",Don Dorsey,Beethoven or Bust,1988
"Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 'Moonlight': I. Adagio Sostenuto",Don Dorsey,Beethoven or Bust,1988
"Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 'Moonlight': II. Allegretto",Don Dorsey,Beethoven or Bust,1988
"Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 'Moonlight': III. Presto Agitato",Don Dorsey,Beethoven or Bust,1988
"15 'Eroica' Variations, Op. 35",Don Dorsey,Beethoven or Bust,1988
"Sonata No. 6 in F Major, Op. 10 No. 2: III. Presto",Don Dorsey,Beethoven or Bust,1988
"Six Ecossaises, WoO 83",Don Dorsey,Beethoven or Bust,1988
"Für Elise, WoO 59",Don Dorsey,Beethoven or Bust,1988
"Sonata No. 18 in E-Flat Major, Op. 31 No. 3: II. Scherzo",Don Dorsey,Beethoven or Bust,1988
Ode to Ludwig (Based on Symphony No. 9),Don Dorsey,Beethoven or Bust,1988
