Title,Artist,Album,Year
Violent & Funky,Infectious Grooves,The Plague That Makes Your Booty Move...It's the Infectious Grooves,1991
Therapy,Infectious Grooves,Sarsippius' Ark,1993
Punk It Up,Infectious Grooves,The Plague That Makes Your Booty Move...It's the Infectious Grooves,1991
You Lie...And Yo Breath Stank,Infectious Grooves,The Plague That Makes Your Booty Move...It's the Infectious Grooves,1991
Stop Funk'n with My Head,Infectious Grooves,The Plague That Makes Your Booty Move...It's the Infectious Grooves,1991
Monster Skank,Infectious Grooves,Sarsippius' Ark,1993
Do What I Tell Ya!,Infectious Grooves,The Plague That Makes Your Booty Move...It's the Infectious Grooves,1991
Fame,Infectious Grooves,Groove Family Cyco,1994
Cousin Randy,Infectious Grooves,Sarsippius' Ark,1993
Infectious Grooves,Infectious Grooves,Groove Family Cyco,1994
Epic,Faith No More,The Real Thing,1989
Falling to Pieces,Faith No More,The Real Thing,1989
From Out of Nowhere,Faith No More,The Real Thing,1989
Surprise! You're Dead!,Faith No More,The Real Thing,1989
The Real Thing,Faith No More,The Real Thing,1989
Midlife Crisis,Faith No More,Angel Dust,1992
A Small Victory,Faith No More,Angel Dust,1992
Everything's Ruined,Faith No More,Angel Dust,1992
Caffeine,Faith No More,Angel Dust,1992
Be Aggressive,Faith No More,Angel Dust,1992
Digging the Grave,Faith No More,King for a Day Fool for a Lifetime,1995
Evidence,Faith No More,King for a Day Fool for a Lifetime,1995
Ricochet,Faith No More,King for a Day Fool for a Lifetime,1995
Last Cup of Sorrow,Faith No More,Album of the Year,1997
We Care a Lot,Faith No More,Introduce Yourself,1987
Death March,Faith No More,Introduce Yourself,1987
The Morning After,Faith No More,The Real Thing,1989
Squeeze Me Macaroni,Mr. Bungle,Mr. Bungle,1991
Quote Unquote,Mr. Bungle,Mr. Bungle,1991
My Ass Is on Fire,Mr. Bungle,Mr. Bungle,1991
Carousel,Mr. Bungle,Mr. Bungle,1991
Girls of Porn,Mr. Bungle,Mr. Bungle,1991
Desert Search for Techno Allah,Mr. Bungle,Disco Volante,1995
Retrovertigo,Mr. Bungle,California,1999
Give It Away,Red Hot Chili Peppers,Blood Sugar Sex Magik,1991
Suck My Kiss,Red Hot Chili Peppers,Blood Sugar Sex Magik,1991
Breaking the Girl,Red Hot Chili Peppers,Blood Sugar Sex Magik,1991
If You Have to Ask,Red Hot Chili Peppers,Blood Sugar Sex Magik,1991
The Power of Equality,Red Hot Chili Peppers,Blood Sugar Sex Magik,1991
Mellowship Slinky in B Major,Red Hot Chili Peppers,Blood Sugar Sex Magik,1991
Sir Psycho Sexy,Red Hot Chili Peppers,Blood Sugar Sex Magik,1991
Around the World,Red Hot Chili Peppers,Californication,1999
Higher Ground,Red Hot Chili Peppers,Mother's Milk,1989
Knock Me Down,Red Hot Chili Peppers,Mother's Milk,1989
Taste the Pain,Red Hot Chili Peppers,Mother's Milk,1989
Subway to Venus,Red Hot Chili Peppers,Mother's Milk,1989
Fight Like a Brave,Red Hot Chili Peppers,The Uplift Mofo Party Plan,1987
Behind the Sun,Red Hot Chili Peppers,The Uplift Mofo Party Plan,1987
Jungle Man,Red Hot Chili Peppers,Freaky Styley,1985
Hollywood,Red Hot Chili Peppers,Freaky Styley,1985
True Men Don't Kill Coyotes,Red Hot Chili Peppers,The Red Hot Chili Peppers,1984
Tommy the Cat,Primus,Sailing the Seas of Cheese,1991
Jerry Was a Race Car Driver,Primus,Sailing the Seas of Cheese,1991
Those Damned Blue-Collar Tweekers,Primus,Sailing the Seas of Cheese,1991
Here Come the Bastards,Primus,Sailing the Seas of Cheese,1991
Sgt. Baker,Primus,Sailing the Seas of Cheese,1991
My Name Is Mud,Primus,Pork Soda,1993
DMV,Primus,Pork Soda,1993
Mr. Krinkle,Primus,Pork Soda,1993
John the Fisherman,Primus,Frizzle Fry,1990
Too Many Puppies,Primus,Frizzle Fry,1990
Pudding Time,Primus,Frizzle Fry,1990
Wynona's Big Brown Beaver,Primus,Tales from the Punchbowl,1995
Southbound Pachyderm,Primus,Tales from the Punchbowl,1995
Shake Hands with Beef,Primus,Brown Album,1997
Fight the Youth,Fishbone,The Reality of My Surroundings,1991
Sunless Saturday,Fishbone,The Reality of My Surroundings,1991
Everyday Sunshine,Fishbone,The Reality of My Surroundings,1991
Ma and Pa,Fishbone,Truth and Soul,1988
Bonin' in the Boneyard,Fishbone,Truth and Soul,1988
Freddie's Dead,Fishbone,Truth and Soul,1988
Party at Ground Zero,Fishbone,Fishbone,1985
Lyin' Ass Bitch,Fishbone,In Your Face,1986
Servitude,Fishbone,Give a Monkey a Brain and He'll Swear He's the Center of the Universe,1993
Swim,Fishbone,Give a Monkey a Brain and He'll Swear He's the Center of the Universe,1993
Black Flowers,Fishbone,Give a Monkey a Brain and He'll Swear He's the Center of the Universe,1993
Cult of Personality,Living Colour,Vivid,1988
Middle Man,Living Colour,Vivid,1988
Desperate People,Living Colour,Vivid,1988
Funny Vibe,Living Colour,Vivid,1988
Glamour Boys,Living Colour,Vivid,1988
Open Letter to a Landlord,Living Colour,Vivid,1988
Love Rears Its Ugly Head,Living Colour,Time's Up,1990
Type,Living Colour,Time's Up,1990
Time's Up,Living Colour,Time's Up,1990
Elvis Is Dead,Living Colour,Time's Up,1990
Pride,Living Colour,Time's Up,1990
Leave It Alone,Living Colour,Stain,1993
Ignorance Is Bliss,Living Colour,Stain,1993
Go Away,Living Colour,Stain,1993
Mountain Song,Jane's Addiction,Nothing's Shocking,1988
Ocean Size,Jane's Addiction,Nothing's Shocking,1988
Had a Dad,Jane's Addiction,Nothing's Shocking,1988
Jane Says,Jane's Addiction,Nothing's Shocking,1988
Stop!,Jane's Addiction,Ritual de lo Habitual,1990
Been Caught Stealing,Jane's Addiction,Ritual de lo Habitual,1990
Ain't No Right,Jane's Addiction,Ritual de lo Habitual,1990
Three Days,Jane's Addiction,Ritual de lo Habitual,1990
Whores,Jane's Addiction,Jane's Addiction,1987
Ted Just Admit It...,Jane's Addiction,Nothing's Shocking,1988
Yertle the Turtle,Red Hot Chili Peppers,Freaky Styley,1985
Pigs in Zen,Jane's Addiction,Jane's Addiction,1987
Debonair,The Afghan Whigs,Gentlemen,1993
Gentlemen,The Afghan Whigs,Gentlemen,1993
Somethin' Hot,The Afghan Whigs,1965,1998
Going to Town,The Afghan Whigs,Black Love,1996
Lounge Fly,Stone Temple Pilots,Purple,1994
Vasoline,Stone Temple Pilots,Purple,1994
Unglued,Stone Temple Pilots,Purple,1994
Sex Type Thing,Stone Temple Pilots,Core,1992
Wicked Garden,Stone Temple Pilots,Core,1992
Down,Stone Temple Pilots,No. 4,1999
Crackerman,Stone Temple Pilots,Core,1992
Interstate Love Song,Stone Temple Pilots,Purple,1994
Naked Sunday,Stone Temple Pilots,Core,1992
Meatplow,Stone Temple Pilots,Purple,1994
Them Bones,Alice In Chains,Dirt,1992
Would?,Alice In Chains,Dirt,1992
Man in the Box,Alice In Chains,Facelift,1990
Again,Alice In Chains,Alice In Chains,1995
Grind,Alice In Chains,Alice In Chains,1995
We Die Young,Alice In Chains,Facelift,1990
Rusty Cage,Soundgarden,Badmotorfinger,1991
Outshined,Soundgarden,Badmotorfinger,1991
Jesus Christ Pose,Soundgarden,Badmotorfinger,1991
Spoonman,Soundgarden,Superunknown,1994
Drawing Flies,Soundgarden,Badmotorfinger,1991
Slaves & Bulldozers,Soundgarden,Badmotorfinger,1991
Killing in the Name,Rage Against the Machine,Rage Against the Machine,1992
Bombtrack,Rage Against the Machine,Rage Against the Machine,1992
Take the Power Back,Rage Against the Machine,Rage Against the Machine,1992
Bullet in the Head,Rage Against the Machine,Rage Against the Machine,1992
Know Your Enemy,Rage Against the Machine,Rage Against the Machine,1992
Freedom,Rage Against the Machine,Rage Against the Machine,1992
Bulls on Parade,Rage Against the Machine,Evil Empire,1996
People of the Sun,Rage Against the Machine,Evil Empire,1996
Vietnow,Rage Against the Machine,Evil Empire,1996
Down Rodeo,Rage Against the Machine,Evil Empire,1996
Guerrilla Radio,Rage Against the Machine,The Battle of Los Angeles,1999
Testify,Rage Against the Machine,The Battle of Los Angeles,1999
Calm Like a Bomb,Rage Against the Machine,The Battle of Los Angeles,1999
Renegades of Funk,Rage Against the Machine,Renegades,2000
Cyco Vision,Suicidal Tendencies,Freedumb,1999
Institutionalized,Suicidal Tendencies,Suicidal Tendencies,1983
You Can't Bring Me Down,Suicidal Tendencies,Lights...Camera...Revolution!,1990
Send Me Your Money,Suicidal Tendencies,Lights...Camera...Revolution!,1990
Alone,Suicidal Tendencies,Lights...Camera...Revolution!,1990
Lovely,Suicidal Tendencies,Lights...Camera...Revolution!,1990
Nobody Hears,Suicidal Tendencies,The Art of Rebellion,1992
I'll Hate You Better,Suicidal Tendencies,The Art of Rebellion,1992
Get Whacked,Suicidal Tendencies,Freedumb,1999
Freedumb,Suicidal Tendencies,Freedumb,1999
Pledge Your Allegiance,Suicidal Tendencies,How Will I Laugh Tomorrow When I Can't Even Smile Today,1988
Trip at the Brain,Suicidal Tendencies,How Will I Laugh Tomorrow When I Can't Even Smile Today,1988
Stuck in the Middle,24-7 Spyz,Harder Than You,1989
Jungle Boogie,24-7 Spyz,Harder Than You,1989
Break the Chains,24-7 Spyz,Harder Than You,1989
Yeah X 3,24-7 Spyz,Gumbo Millennium,1990
Don't Break My Heart!,24-7 Spyz,Gumbo Millennium,1990
Social Plague,24-7 Spyz,Strength in Numbers,1992
Earthquake,24-7 Spyz,This Is...24-7 Spyz!,1991
Tick Tick Tick,24-7 Spyz,This Is...24-7 Spyz!,1991
No Honestly!,24-7 Spyz,Temporarily Disconnected,1995
Static,24-7 Spyz,Heavy Metal Soul by the Pound,1996
Cult of Personality,Living Colour,Vivid,1988
No More Tears,24-7 Spyz,Heavy Metal Soul by the Pound,1996
Caffeine,Faith No More,Angel Dust,1992
Fast Lane,Urban Dance Squad,Mental Floss for the Globe,1989
Deeper Shade of Soul,Urban Dance Squad,Mental Floss for the Globe,1989
No Kid,Urban Dance Squad,Life 'n Perspectives of a Genuine Crossover,1991
Bureaucrat of Flaccostreet,Urban Dance Squad,Mental Floss for the Globe,1989
Grand Black Citizen,Urban Dance Squad,Persona Non Grata,1994
Mental Floss for the Globe,Urban Dance Squad,Mental Floss for the Globe,1989
Underwater Rimes,Digital Underground,Sex Packets,1990
Kickin',King's X,Out of the Silent Planet,1988
Over My Head,King's X,Gretchen Goes to Nebraska,1989
Summerland,King's X,Gretchen Goes to Nebraska,1989
It's Love,King's X,Faith Hope Love,1990
We Were Born to Be Loved,King's X,Faith Hope Love,1990
Black Flag,King's X,King's X,1992
Dogman,King's X,Dogman,1994
Pretend,King's X,King's X,1992
Groove Machine,King's X,Tape Head,1998
Lost in Germany,King's X,King's X,1992
Cult,King's X,Dogman,1994
More Than Words,Extreme,Extreme II: Pornograffitti,1990
Get the Funk Out,Extreme,Extreme II: Pornograffitti,1990
Decadence Dance,Extreme,Extreme II: Pornograffitti,1990
Pornograffitti,Extreme,Extreme II: Pornograffitti,1990
Li'l Jack Horny,Extreme,Extreme II: Pornograffitti,1990
He-Man Woman Hater,Extreme,Extreme II: Pornograffitti,1990
Kid Ego,Extreme,Extreme,1989
Play with Me,Extreme,Extreme,1989
Rest in Peace,Extreme,III Sides to Every Story,1992
Cupid's Dead,Extreme,III Sides to Every Story,1992
Tragic Comic,Extreme,III Sides to Every Story,1992
Ugly Kid Joe,Ugly Kid Joe,America's Least Wanted,1992
Everything About You,Ugly Kid Joe,America's Least Wanted,1992
Neighbor,Ugly Kid Joe,America's Least Wanted,1992
Madman,Ugly Kid Joe,America's Least Wanted,1992
Goddamn Devil,Ugly Kid Joe,America's Least Wanted,1992
Cats in the Cradle,Ugly Kid Joe,America's Least Wanted,1992
Funky Crime,Red Hot Chili Peppers,The Uplift Mofo Party Plan,1987
Funk #49,James Gang,James Gang Rides Again,1970
Walk Away,James Gang,Thirds,1971
The Bomber,James Gang,James Gang Rides Again,1970
Rocky Mountain Way,Joe Walsh,The Smoker You Drink the Player You Get,1973
Turn to Stone,Joe Walsh,So What,1974
Mississippi Queen,Mountain,Climbing!,1970
Never in My Life,Mountain,Climbing!,1970
Hair of the Dog,Nazareth,Hair of the Dog,1975
No More Mr. Nice Guy,Alice Cooper,Billion Dollar Babies,1973
School's Out,Alice Cooper,School's Out,1972
I'm Eighteen,Alice Cooper,Love It to Death,1971
Stranglehold,Ted Nugent,Ted Nugent,1975
Cat Scratch Fever,Ted Nugent,Cat Scratch Fever,1977
Snortin' Whiskey,Pat Travers Band,Crash and Burn,1980
Boom Boom Out Go the Lights,Pat Travers Band,Go for What You Know,1979
Red House,Jimi Hendrix,Are You Experienced,1967
Voodoo Child (Slight Return),The Jimi Hendrix Experience,Electric Ladyland,1968
Fire,The Jimi Hendrix Experience,Are You Experienced,1967
Foxy Lady,The Jimi Hendrix Experience,Are You Experienced,1967
Manic Depression,The Jimi Hendrix Experience,Are You Experienced,1967
Them Changes,Buddy Miles,Them Changes,1970
Miss Lady,Buddy Miles,Them Changes,1970
Super Stupid,Funkadelic,Maggot Brain,1971
Hit It and Quit It,Funkadelic,Maggot Brain,1971
Maggot Brain,Funkadelic,Maggot Brain,1971
Cosmic Slop,Funkadelic,Cosmic Slop,1973
Standing on the Verge of Getting It On,Funkadelic,Standing on the Verge of Getting It On,1974
Red Hot Mama,Funkadelic,Standing on the Verge of Getting It On,1974
Alice in My Fantasies,Funkadelic,Standing on the Verge of Getting It On,1974
Who Says a Funk Band Can't Play Rock?!,Funkadelic,One Nation Under a Groove,1978
One Nation Under a Groove,Funkadelic,One Nation Under a Groove,1978
Freak of the Week,Funkadelic,The Electric Spanking of War Babies,1981
Give Up the Funk,Tedeschi Trucks Band,Made Up Mind,2013
Superbad,James Brown,Sex Machine,1970
Get Up Offa That Thing,James Brown,Get Up Offa That Thing,1976
Give It Away,RHCP,Blood Sugar Sex Magik,1991
Fistful of Steel,Rage Against the Machine,Rage Against the Machine,1992
The Big F,The Big F,The Big F,1989
Doctor Vine,The Big F,The Big F,1989
Patience Peregrine,The Big F,The Big F,1989
Mars,The Big F,The Big F,1989
House of Pain,Van Halen,1984,1984
Mean Street,Van Halen,Fair Warning,1981
Unchained,Van Halen,Fair Warning,1981
Hot for Teacher,Van Halen,1984,1984
Elephant Talk,King Crimson,Discipline,1981
Thela Hun Ginjeet,King Crimson,Discipline,1981
Three of a Perfect Pair,King Crimson,Three of a Perfect Pair,1984
Big Electric Cat,Adrian Belew,Lone Rhino,1982
King Contrary Man,The Cult,Electric,1987
Love Removal Machine,The Cult,Electric,1987
Wild Flower,The Cult,Electric,1987
Fire Woman,The Cult,Sonic Temple,1989
She Sells Sanctuary,The Cult,Love,1985
Mountain Song,Jane's Addiction,Nothing's Shocking,1988
Black Sunshine,White Zombie,La Sexorcisto: Devil Music Vol. 1,1992
Thunder Kiss '65,White Zombie,La Sexorcisto: Devil Music Vol. 1,1992
More Human Than Human,White Zombie,Astro-Creep: 2000,1995
Electric Head Pt. 2 (The Ecstasy),White Zombie,Astro-Creep: 2000,1995
Super-Charger Heaven,White Zombie,Astro-Creep: 2000,1995
Dragula,Rob Zombie,Hellbilly Deluxe,1998
Superbeast,Rob Zombie,Hellbilly Deluxe,1998
Living Dead Girl,Rob Zombie,Hellbilly Deluxe,1998
Unsung,Helmet,Meantime,1992
In the Meantime,Helmet,Meantime,1992
Milquetoast,Helmet,Betty,1994
Wilma's Rainbow,Helmet,Betty,1994
Street Crab,Helmet,Aftertaste,1997
A Shogun Named Marcus,Clutch,Transnational Speedway League,1993
Big News I,Clutch,Clutch,1995
Spacegrass,Clutch,Clutch,1995
The Mob Goes Wild,Clutch,Blast Tyrant,2004
Electric Worry,Clutch,From Beale Street to Oblivion,2007
Earth Rocker,Clutch,Earth Rocker,2013
D.C. Sound Attack!,Clutch,Earth Rocker,2013
Low Self Opinion,Rollins Band,The End of Silence,1992
Tearing,Rollins Band,The End of Silence,1992
Disconnect,Rollins Band,Weight,1994
Liar,Rollins Band,Weight,1994
Civilized,Rollins Band,Weight,1994
Starve,Rollins Band,Come In and Burn,1997
Bound for the Floor,Local H,As Good as Dead,1996
Fritz's Corner,Local H,As Good as Dead,1996
High-Fiving MF,Local H,As Good as Dead,1996
Wolf Like Me,TV on the Radio,Return to Cookie Mountain,2006
Out of Control,Hoobastank,The Reason,2003
Whatever,Godsmack,Godsmack,1998
Keep Away,Godsmack,Godsmack,1998
Bad Religion,Godsmack,Godsmack,1998
Awake,Godsmack,Awake,2000
The Distance,Cake,Fashion Nugget,1996
Never There,Cake,Prolonging the Magic,1998
Short Skirt Long Jacket,Cake,Comfort Eagle,2001
I Will Survive,Cake,Fashion Nugget,1996
No Sleep Till Brooklyn,Beastie Boys,Licensed to Ill,1986
Sabotage,Beastie Boys,Ill Communication,1994
Gratitude,Beastie Boys,Check Your Head,1992
So What'cha Want,Beastie Boys,Check Your Head,1992
Root Down,Beastie Boys,Ill Communication,1994
Sure Shot,Beastie Boys,Ill Communication,1994
High Plains Drifter,Beastie Boys,Paul's Boutique,1989
Hey Ladies,Beastie Boys,Paul's Boutique,1989
Been Caught Stealing,Jane's Addiction,Ritual de lo Habitual,1990
Epic,Faith No More,The Real Thing,1989
