Title,Artist,Album,Year
Hit the Lights,Metallica,Kill 'Em All,1983
The Four Horsemen,Metallica,Kill 'Em All,1983
Motorbreath,Metallica,Kill 'Em All,1983
Jump in the Fire,Metallica,Kill 'Em All,1983
Whiplash,Metallica,Kill 'Em All,1983
Seek & Destroy,Metallica,Kill 'Em All,1983
Fight Fire with Fire,Metallica,Ride the Lightning,1984
Ride the Lightning,Metallica,Ride the Lightning,1984
For Whom the Bell Tolls,Metallica,Ride the Lightning,1984
Fade to Black,Metallica,Ride the Lightning,1984
Creeping Death,Metallica,Ride the Lightning,1984
Battery,Metallica,Master of Puppets,1986
Master of Puppets,Metallica,Master of Puppets,1986
The Thing That Should Not Be,Metallica,Master of Puppets,1986
Welcome Home (Sanitarium),Metallica,Master of Puppets,1986
Disposable Heroes,Metallica,Master of Puppets,1986
Damage Inc.,Metallica,Master of Puppets,1986
Blackened,Metallica,...And Justice for All,1988
...And Justice for All,Metallica,...And Justice for All,1988
Eye of the Beholder,Metallica,...And Justice for All,1988
One,Metallica,...And Justice for All,1988
Harvester of Sorrow,Metallica,...And Justice for All,1988
The Shortest Straw,Metallica,...And Justice for All,1988
Breadfan,Metallica,Garage Inc.,1998
Stone Cold Crazy,Metallica,Garage Inc.,1998
Am I Evil?,Metallica,Garage Inc.,1998
Blitzkrieg,Metallica,Garage Inc.,1998
Helpless,Metallica,Garage Inc.,1998
The Small Hours,Metallica,Garage Inc.,1998
Crash Course in Brain Surgery,Metallica,Garage Inc.,1998
Last Caress/Green Hell,Metallica,Garage Inc.,1998
The Prince,Metallica,Garage Inc.,1998
It's Electric,Metallica,Garage Inc.,1998
Free Speech for the Dumb,Metallica,Garage Inc.,1998
The Wait,Metallica,Garage Inc.,1998
Die Die My Darling,Metallica,Garage Inc.,1998
Prowler,Iron Maiden,Iron Maiden,1980
Running Free,Iron Maiden,Iron Maiden,1980
Phantom of the Opera,Iron Maiden,Iron Maiden,1980
Iron Maiden,Iron Maiden,Iron Maiden,1980
Wrathchild,Iron Maiden,Killers,1981
Murders in the Rue Morgue,Iron Maiden,Killers,1981
Killers,Iron Maiden,Killers,1981
The Number of the Beast,Iron Maiden,The Number of the Beast,1982
Run to the Hills,Iron Maiden,The Number of the Beast,1982
Hallowed Be Thy Name,Iron Maiden,The Number of the Beast,1982
The Prisoner,Iron Maiden,The Number of the Beast,1982
Where Eagles Dare,Iron Maiden,Piece of Mind,1983
Revelations,Iron Maiden,Piece of Mind,1983
Flight of Icarus,Iron Maiden,Piece of Mind,1983
Die with Your Boots On,Iron Maiden,Piece of Mind,1983
The Trooper,Iron Maiden,Piece of Mind,1983
Aces High,Iron Maiden,Powerslave,1984
2 Minutes to Midnight,Iron Maiden,Powerslave,1984
Powerslave,Iron Maiden,Powerslave,1984
Rime of the Ancient Mariner,Iron Maiden,Powerslave,1984
Caught Somewhere in Time,Iron Maiden,Somewhere in Time,1986
Wasted Years,Iron Maiden,Somewhere in Time,1986
Heaven Can Wait,Iron Maiden,Somewhere in Time,1986
Stranger in a Strange Land,Iron Maiden,Somewhere in Time,1986
Can I Play with Madness,Iron Maiden,Seventh Son of a Seventh Son,1988
The Evil That Men Do,Iron Maiden,Seventh Son of a Seventh Son,1988
The Clairvoyant,Iron Maiden,Seventh Son of a Seventh Son,1988
Holy Wars... The Punishment Due,Megadeth,Rust in Peace,1990
Hangar 18,Megadeth,Rust in Peace,1990
Tornado of Souls,Megadeth,Rust in Peace,1990
Rust in Peace... Polaris,Megadeth,Rust in Peace,1990
Peace Sells,Megadeth,Peace Sells... But Who's Buying?,1986
Wake Up Dead,Megadeth,Peace Sells... But Who's Buying?,1986
Devils Island,Megadeth,Peace Sells... But Who's Buying?,1986
In My Darkest Hour,Megadeth,So Far So Good... So What!,1988
Set the World Afire,Megadeth,So Far So Good... So What!,1988
Hook in Mouth,Megadeth,So Far So Good... So What!,1988
Symphony of Destruction,Megadeth,Countdown to Extinction,1992
Sweating Bullets,Megadeth,Countdown to Extinction,1992
