Title,Artist,Album,Year
In the Flesh?,Pink Floyd,The Wall,1979
The Thin Ice,Pink Floyd,The Wall,1979
Another Brick in the Wall Part 1,Pink Floyd,The Wall,1979
The Happiest Days of Our Lives,Pink Floyd,The Wall,1979
Another Brick in the Wall Part 2,Pink Floyd,The Wall,1979
Mother,Pink Floyd,The Wall,1979
Goodbye Blue Sky,Pink Floyd,The Wall,1979
Empty Spaces,Pink Floyd,The Wall,1979
Young Lust,Pink Floyd,The Wall,1979
One of My Turns,Pink Floyd,The Wall,1979
Don't Leave Me Now,Pink Floyd,The Wall,1979
Another Brick in the Wall Part 3,Pink Floyd,The Wall,1979
Goodbye Cruel World,Pink Floyd,The Wall,1979
Hey You,Pink Floyd,The Wall,1979
Is There Anybody Out There?,Pink Floyd,The Wall,1979
Nobody Home,Pink Floyd,The Wall,1979
Vera,Pink Floyd,The Wall,1979
Bring the Boys Back Home,Pink Floyd,The Wall,1979
Comfortably Numb,Pink Floyd,The Wall,1979
The Show Must Go On,Pink Floyd,The Wall,1979
In the Flesh,Pink Floyd,The Wall,1979
Run Like Hell,Pink Floyd,The Wall,1979
Waiting for the Worms,Pink Floyd,The Wall,1979
Stop,Pink Floyd,The Wall,1979
The Trial,Pink Floyd,The Wall,1979
Outside the Wall,Pink Floyd,The Wall,1979
Me So Horny,The 2 Live Crew,As Nasty as They Wanna Be,1989
Put Her in the Buck,The 2 Live Crew,As Nasty as They Wanna Be,1989
Dick Almighty,The 2 Live Crew,As Nasty as They Wanna Be,1989
C'mon Babe (Doo Doo Brown),The 2 Live Crew,As Nasty as They Wanna Be,1989
Dirty Nursery Rhymes,The 2 Live Crew,As Nasty as They Wanna Be,1989
Break It on Down,The 2 Live Crew,As Nasty as They Wanna Be,1989
2 Live Blues,The 2 Live Crew,As Nasty as They Wanna Be,1989
I Ain't Bullshittin',The 2 Live Crew,As Nasty as They Wanna Be,1989
Get Loose Now,The 2 Live Crew,As Nasty as They Wanna Be,1989
The Fuck Shop,The 2 Live Crew,As Nasty as They Wanna Be,1989
If You Believe in Having Sex,The 2 Live Crew,As Nasty as They Wanna Be,1989
My Seven Bizzos,The 2 Live Crew,As Nasty as They Wanna Be,1989
Get the Fuck Out of My House,The 2 Live Crew,As Nasty as They Wanna Be,1989
Reggae Joint,The 2 Live Crew,As Nasty as They Wanna Be,1989
Fraternity Record,The 2 Live Crew,As Nasty as They Wanna Be,1989
Bad Ass Bitch,The 2 Live Crew,As Nasty as They Wanna Be,1989
Mega-Mixx III,The 2 Live Crew,As Nasty as They Wanna Be,1989
Coolin',The 2 Live Crew,As Nasty as They Wanna Be,1989
Sucker D.J.'s,Run-D.M.C.,Back from Hell,1990
The Ave,Run-D.M.C.,Back from Hell,1990
What's It All About,Run-D.M.C.,Back from Hell,1990
Bob Your Head,Run-D.M.C.,Back from Hell,1990
Faces,Run-D.M.C.,Back from Hell,1990
Kick the Frama Lama Lama,Run-D.M.C.,Back from Hell,1990
Pause,Run-D.M.C.,Back from Hell,1990
Word Is Born,Run-D.M.C.,Back from Hell,1990
Back from Hell,Run-D.M.C.,Back from Hell,1990
Don't Stop,Run-D.M.C.,Back from Hell,1990
Groove to the Sound,Run-D.M.C.,Back from Hell,1990
P Upon a Tree,Run-D.M.C.,Back from Hell,1990
Naughty,Run-D.M.C.,Back from Hell,1990
Livin' in the City,Run-D.M.C.,Back from Hell,1990
Not Just Another Groove,Run-D.M.C.,Back from Hell,1990
Party Time,Run-D.M.C.,Back from Hell,1990
100 Miles and Runnin',N.W.A,100 Miles and Runnin',1990
