Title,Artist,Album,Year,Priority,Style,Notes
Round and Round,Ratt,Out of the Cellar,1984,Hit,Hair Metal,
Wanted Man,Ratt,Out of the Cellar,1984,Hit,Hair Metal,
Back for More,Ratt,Out of the Cellar,1984,Hit,Hair Metal,
Lack of Communication,Ratt,Out of the Cellar,1984,Deep,Hair Metal,
I'm Insane,Ratt,Out of the Cellar,1984,Deep,Hair Metal,
Scene of the Crime,Ratt,Out of the Cellar,1984,Deep,Hair Metal,
Lay It Down,Ratt,Invasion of Your Privacy,1985,Hit,Hair Metal,
You're in Love,Ratt,Invasion of Your Privacy,1985,Hit,Hair Metal,
Never Use Love,Ratt,Invasion of Your Privacy,1985,Deep,Hair Metal,
Give It All,Ratt,Invasion of Your Privacy,1985,Deep,Hair Metal,
Dangerous but Worth the Risk,Ratt,Invasion of Your Privacy,1985,Deep,Hair Metal,
Dance,Ratt,Dancing Undercover,1986,Hit,Hair Metal,
Body Talk,Ratt,Dancing Undercover,1986,Hit,Hair Metal,
Slip of the Lip,Ratt,Dancing Undercover,1986,Deep,Hair Metal,
Looking for Love,Ratt,Dancing Undercover,1986,Deep,Hair Metal,
Way Cool Jr.,Ratt,Reach for the Sky,1988,Hit,Hair Metal,
I Want a Woman,Ratt,Reach for the Sky,1988,Hit,Hair Metal,
City to City,Ratt,Reach for the Sky,1988,Deep,Hair Metal,
Breaking the Chains,Dokken,Breaking the Chains,1983,Hit,Melodic Metal,
Paris Is Burning,Dokken,Breaking the Chains,1983,Deep,Melodic Metal,
Nightrider,Dokken,Breaking the Chains,1983,Deep,Melodic Metal,
Tooth and Nail,Dokken,Tooth and Nail,1984,Hit,Melodic Metal,
Into the Fire,Dokken,Tooth and Nail,1984,Hit,Melodic Metal,
Alone Again,Dokken,Tooth and Nail,1984,Ballad,Power Ballad,
Just Got Lucky,Dokken,Tooth and Nail,1984,Hit,Melodic Metal,
Don't Close Your Eyes,Dokken,Tooth and Nail,1984,Deep,Melodic Metal,
In My Dreams,Dokken,Under Lock and Key,1985,Hit,Melodic Metal,
It's Not Love,Dokken,Under Lock and Key,1985,Hit,Melodic Metal,
The Hunter,Dokken,Under Lock and Key,1985,Deep,Melodic Metal,
Unchain the Night,Dokken,Under Lock and Key,1985,Deep,Melodic Metal,
Lightning Strikes Again,Dokken,Under Lock and Key,1985,Deep,Melodic Metal,
Dream Warriors,Dokken,Back for the Attack,1987,Hit,Melodic Metal,
Kiss of Death,Dokken,Back for the Attack,1987,Hit,Melodic Metal,
Burning Like a Flame,Dokken,Back for the Attack,1987,Hit,Melodic Metal,
Heaven Sent,Dokken,Back for the Attack,1987,Deep,Melodic Metal,
Mr. Scary,Dokken,Back for the Attack,1987,Deep,Instrumental,
Live Wire,Mötley Crüe,Too Fast for Love,1981,Hit,Sleaze Metal,
Too Fast for Love,Mötley Crüe,Too Fast for Love,1981,Deep,Sleaze Metal,
Piece of Your Action,Mötley Crüe,Too Fast for Love,1981,Deep,Sleaze Metal,
On With the Show,Mötley Crüe,Too Fast for Love,1981,Deep,Sleaze Metal,
Shout at the Devil,Mötley Crüe,Shout at the Devil,1983,Hit,Sleaze Metal,
Looks That Kill,Mötley Crüe,Shout at the Devil,1983,Hit,Sleaze Metal,
Too Young to Fall in Love,Mötley Crüe,Shout at the Devil,1983,Hit,Sleaze Metal,
Red Hot,Mötley Crüe,Shout at the Devil,1983,Deep,Sleaze Metal,
Ten Seconds to Love,Mötley Crüe,Shout at the Devil,1983,Deep,Sleaze Metal,
Smokin' in the Boys Room,Mötley Crüe,Theatre of Pain,1985,Hit,Hair Metal,
Home Sweet Home,Mötley Crüe,Theatre of Pain,1985,Ballad,Power Ballad,
Louder Than Hell,Mötley Crüe,Theatre of Pain,1985,Deep,Hair Metal,
Use It or Lose It,Mötley Crüe,Theatre of Pain,1985,Deep,Hair Metal,
"Girls, Girls, Girls",Mötley Crüe,"Girls, Girls, Girls",1987,Hit,Sleaze Metal,
Wild Side,Mötley Crüe,"Girls, Girls, Girls",1987,Hit,Sleaze Metal,
You're All I Need,Mötley Crüe,"Girls, Girls, Girls",1987,Ballad,Power Ballad,
Dancing on Glass,Mötley Crüe,"Girls, Girls, Girls",1987,Deep,Sleaze Metal,
Dr. Feelgood,Mötley Crüe,Dr. Feelgood,1989,Hit,Hair Metal,
Kickstart My Heart,Mötley Crüe,Dr. Feelgood,1989,Hit,Hair Metal,
Without You,Mötley Crüe,Dr. Feelgood,1989,Ballad,Power Ballad,
Don't Go Away Mad (Just Go Away),Mötley Crüe,Dr. Feelgood,1989,Hit,Hair Metal,
Same Ol' Situation (S.O.S.),Mötley Crüe,Dr. Feelgood,1989,Hit,Hair Metal,
Let It Go,Def Leppard,High 'n' Dry,1981,Deep,Hard Rock,
High 'n' Dry (Saturday Night),Def Leppard,High 'n' Dry,1981,Deep,Hard Rock,
Bringin' On the Heartbreak,Def Leppard,High 'n' Dry,1981,Ballad,Power Ballad,
Switch 625,Def Leppard,High 'n' Dry,1981,Deep,Instrumental,
Photograph,Def Leppard,Pyromania,1983,Hit,Arena Rock,
Rock of Ages,Def Leppard,Pyromania,1983,Hit,Arena Rock,
Foolin',Def Leppard,Pyromania,1983,Hit,Arena Rock,
Too Late for Love,Def Leppard,Pyromania,1983,Deep,Arena Rock,
Stagefright,Def Leppard,Pyromania,1983,Deep,Arena Rock,
Women,Def Leppard,Hysteria,1987,Hit,Arena Rock,
Animal,Def Leppard,Hysteria,1987,Hit,Arena Rock,
Pour Some Sugar on Me,Def Leppard,Hysteria,1987,Hit,Arena Rock,
Love Bites,Def Leppard,Hysteria,1987,Ballad,Power Ballad,
Armageddon It,Def Leppard,Hysteria,1987,Hit,Arena Rock,
Hysteria,Def Leppard,Hysteria,1987,Ballad,Power Ballad,
Rocket,Def Leppard,Hysteria,1987,Hit,Arena Rock,
Let's Get Rocked,Def Leppard,Adrenalize,1992,Hit,Arena Rock,
Make Love Like a Man,Def Leppard,Adrenalize,1992,Hit,Arena Rock,
Have You Ever Needed Someone So Bad,Def Leppard,Adrenalize,1992,Ballad,Power Ballad,
Slide It In,Whitesnake,Slide It In,1984,Hit,Hard Rock,
Slow an' Easy,Whitesnake,Slide It In,1984,Hit,Hard Rock,
Love Ain't No Stranger,Whitesnake,Slide It In,1984,Hit,Hard Rock,
Guilty of Love,Whitesnake,Slide It In,1984,Deep,Hard Rock,
Still of the Night,Whitesnake,Whitesnake,1987,Hit,Hard Rock,
Here I Go Again,Whitesnake,Whitesnake,1987,Hit,Arena Rock,
Is This Love,Whitesnake,Whitesnake,1987,Ballad,Power Ballad,
Crying in the Rain,Whitesnake,Whitesnake,1987,Deep,Hard Rock,
Bad Boys,Whitesnake,Whitesnake,1987,Deep,Hard Rock,
Give Me All Your Love,Whitesnake,Whitesnake,1987,Hit,Hard Rock,
Fool for Your Loving,Whitesnake,Slip of the Tongue,1989,Hit,Hard Rock,
The Deeper the Love,Whitesnake,Slip of the Tongue,1989,Ballad,Power Ballad,
Now You're Gone,Whitesnake,Slip of the Tongue,1989,Hit,Hard Rock,
Judgement Day,Whitesnake,Slip of the Tongue,1989,Deep,Hard Rock,
Talk Dirty to Me,Poison,Look What the Cat Dragged In,1986,Hit,Glam Metal,
I Want Action,Poison,Look What the Cat Dragged In,1986,Hit,Glam Metal,
I Won't Forget You,Poison,Look What the Cat Dragged In,1986,Ballad,Power Ballad,
Cry Tough,Poison,Look What the Cat Dragged In,1986,Deep,Glam Metal,
Look What the Cat Dragged In,Poison,Look What the Cat Dragged In,1986,Deep,Glam Metal,
Nothin' but a Good Time,Poison,Open Up and Say... Ahh!,1988,Hit,Glam Metal,
Fallen Angel,Poison,Open Up and Say... Ahh!,1988,Hit,Glam Metal,
Every Rose Has Its Thorn,Poison,Open Up and Say... Ahh!,1988,Ballad,Power Ballad,
Your Mama Don't Dance,Poison,Open Up and Say... Ahh!,1988,Hit,Glam Metal,
Love on the Rocks,Poison,Open Up and Say... Ahh!,1988,Deep,Glam Metal,
Unskinny Bop,Poison,Flesh & Blood,1990,Hit,Glam Metal,
Ride the Wind,Poison,Flesh & Blood,1990,Hit,Glam Metal,
Something to Believe In,Poison,Flesh & Blood,1990,Ballad,Power Ballad,
Valley of Lost Souls,Poison,Flesh & Blood,1990,Deep,Glam Metal,
Youth Gone Wild,Skid Row,Skid Row,1989,Hit,Heavy Glam,
18 and Life,Skid Row,Skid Row,1989,Hit,Power Ballad,
I Remember You,Skid Row,Skid Row,1989,Ballad,Power Ballad,
Big Guns,Skid Row,Skid Row,1989,Deep,Heavy Glam,
Piece of Me,Skid Row,Skid Row,1989,Deep,Heavy Glam,
Here I Am,Skid Row,Skid Row,1989,Deep,Heavy Glam,
