Title,Artist,Album,Year
Round and Round,Ratt,Out of the Cellar,1984
Tooth and Nail,Dokken,Tooth and Nail,1984
Looks That Kill,Mötley Crüe,Shout At The Devil,1983
Metal Health (Bang Your Head),Quiet Riot,Metal Health,1983
Rock You Like a Hurricane,Scorpions,Love At First Sting,1984
We're Not Gonna Take It,Twisted Sister,Stay Hungry,1984
Talk Dirty to Me,Poison,Look What The Cat Dragged In,1986
Nobody's Fool,Cinderella,Night Songs,1986
Youth Gone Wild,Skid Row,Skid Row,1989
Turn Up the Radio,Autograph,Sign In Please,1984
Smooth Up in Ya,BulletBoys,BulletBoys,1988
Don't Close Your Eyes,Kix,Blow My Fuse,1988
Heaven,Warrant,Dirty Rotten Filthy Stinking Rich,1989
"Once Bitten, Twice Shy",Great White,...Twice Shy,1989
Edge of a Broken Heart,Vixen,Vixen,1988
Here I Go Again,Whitesnake,Whitesnake,1987
Photograph,Def Leppard,Pyromania,1983
Breaking the Law,Judas Priest,British Steel,1980
The Trooper,Iron Maiden,Piece of Mind,1983
Holy Diver,Dio,Holy Diver,1983
Bark at the Moon,Ozzy Osbourne,Bark at the Moon,1983
Panama,Van Halen,1984,1984
Love in an Elevator,Aerosmith,Pump,1989
Modern Day Cowboy,Tesla,Mechanical Resonance,1986
The Ballad of Jayne,L.A. Guns,Cocked & Loaded,1989
House of Pain,Faster Pussycat,Faster Pussycat,1987
Wild Child,W.A.S.P.,The Last Command,1985
Wait,White Lion,Pride,1987
Don't Treat Me Bad,FireHouse,FireHouse,1990
Naughty Naughty,Danger Danger,Danger Danger,1989
Long Way to Love,Britny Fox,Britny Fox,1988
Wicked Sensation,Lynch Mob,Wicked Sensation,1990
Valley of the Kings,Blue Murder,Blue Murder,1989
Get It On,Kingdom Come,Kingdom Come,1988
Walkin' Shoes,Tora Tora,Surprise Attack,1989
Bang Go the Bells,Babylon A.D.,Babylon A.D.,1989
