Title,Artist,Album,Year
He Went to Paris,Jimmy Buffett,A White Sport Coat and a Pink Crustacean,1973
Grapefruit—Juicy Fruit,Jimmy Buffett,A White Sport Coat and a Pink Crustacean,1973
Cuban Crime of Passion,Jimmy Buffett,A White Sport Coat and a Pink Crustacean,1973
Come Monday,Jimmy Buffett,Living and Dying in 3/4 Time,1974
Pencil Thin Mustache,Jimmy Buffett,Living and Dying in 3/4 Time,1974
The Ballad of Spider John,Jimmy Buffett,Living and Dying in 3/4 Time,1974
A Pirate Looks at Forty,Jimmy Buffett,A1A,1974
Tin Cup Chalice,Jimmy Buffett,A1A,1974
Trying to Reason with Hurricane Season,Jimmy Buffett,A1A,1974
Nautical Wheelers,Jimmy Buffett,A1A,1974
Migration,Jimmy Buffett,A1A,1974
Havana Daydreamin',Jimmy Buffett,Havana Daydreamin',1976
Woman Goin' Crazy on Caroline Street,Jimmy Buffett,Havana Daydreamin',1976
Margaritaville,Jimmy Buffett,"Changes in Latitudes, Changes in Attitudes",1977
"Changes in Latitudes, Changes in Attitudes",Jimmy Buffett,"Changes in Latitudes, Changes in Attitudes",1977
Banana Republics,Jimmy Buffett,"Changes in Latitudes, Changes in Attitudes",1977
In the Shelter,Jimmy Buffett,"Changes in Latitudes, Changes in Attitudes",1977
Son of a Son of a Sailor,Jimmy Buffett,Son of a Son of a Sailor,1978
Cheeseburger in Paradise,Jimmy Buffett,Son of a Son of a Sailor,1978
Mañana,Jimmy Buffett,Son of a Son of a Sailor,1978
Livingston Saturday Night,Jimmy Buffett,Son of a Son of a Sailor,1978
Fins,Jimmy Buffett,Volcano,1979
Volcano,Jimmy Buffett,Volcano,1979
Boat Drinks,Jimmy Buffett,Volcano,1979
Treat Her Like a Lady,Jimmy Buffett,Volcano,1979
Survive,Jimmy Buffett,Volcano,1979
Coconut Telegraph,Jimmy Buffett,Coconut Telegraph,1981
Growing Older but Not Up,Jimmy Buffett,Coconut Telegraph,1981
The Weather Is Here Wish You Were Beautiful,Jimmy Buffett,Coconut Telegraph,1981
One Particular Harbour,Jimmy Buffett,One Particular Harbour,1983
Stars on the Water,Jimmy Buffett,One Particular Harbour,1983
Knees of My Heart,Jimmy Buffett,Riddles in the Sand,1984
Last Mango in Paris,Jimmy Buffett,Last Mango in Paris,1985
Jolly Mon Sing,Jimmy Buffett,Last Mango in Paris,1985
Floridays,Jimmy Buffett,Floridays,1986
Fruitcakes,Jimmy Buffett,Fruitcakes,1994
Barometer Soup,Jimmy Buffett,Barometer Soup,1995
Banana Wind,Jimmy Buffett,Banana Wind,1996
It's Five O'Clock Somewhere,Alan Jackson feat. Jimmy Buffett,Greatest Hits Volume II,2003
Bubbles Up,Jimmy Buffett,Equal Strain on All Parts,2023
