Title,Artist,Album,Year
Paul Revere,Beastie Boys,Licensed to Ill,1986
Posse on Broadway,Sir Mix-A-Lot,Swass,1988
My Hooptie,Sir Mix-A-Lot,Seminar,1989
Buttermilk Biscuits,Sir Mix-A-Lot,Seminar,1989
Baby Got Back,Sir Mix-A-Lot,Mack Daddy,1992
Brass Monkey,Beastie Boys,Licensed to Ill,1986
Hold It Now Hit It,Beastie Boys,Licensed to Ill,1986
It Takes Two,Rob Base & DJ EZ Rock,It Takes Two,1988
Joy and Pain,Rob Base & DJ EZ Rock,It Takes Two,1988
Supersonic,J.J. Fad,Supersonic,1988
Cars With the Boom,L'Trimm,Grab It!,1988
Bass Rock Express,MC ADE,Bass Rock Express,1985
Drop the Bass,Gucci Crew II,"So Def, So Fresh, So Stupid",1988
Munchies for Your Bass,Nemesis,Munchies for Your Bass,1991
Boom I Got Your Boyfriend,MC Luscious,Boom I Got Your Boyfriend,1990
Me So Horny,2 Live Crew,As Nasty As They Wanna Be,1989
Move Somethin',2 Live Crew,Move Somethin',1988
Pop That Coochie,2 Live Crew,Sports Weekend,1991
Whoomp! There It Is,Tag Team,Whoomp! There It Is,1993
Tootsee Roll,69 Boyz,199Quad,1994
Dazzey Duks,Duice,Dazzey Duks,1993
C'mon N' Ride It (The Train),Quad City DJ's,Get On Up and Dance,1996
Space Jam,Quad City DJ's,Space Jam,1996
Da' Dip,Freak Nasty,"Controversee... That's Life... And That's the Way It Is",1996
My Boo,Ghost Town DJs,So So Def Bass All-Stars,1996
Back That Azz Up,Juvenile,400 Degreez,1998
Ha,Juvenile,400 Degreez,1998
Bling Bling,B.G.,Chopper City in the Ghetto,1999
Still Fly,Big Tymers,Hood Rich,2002
Get Low,Lil Jon & The East Side Boyz,Kings of Crunk,2002
Throw It Up,Lil Jon & The East Side Boyz,Kings of Crunk,2002
Salt Shaker,Ying Yang Twins,Me & My Brother,2003
Badd,Ying Yang Twins,U.S.A. Still United,2005
Wait (The Whisper Song),Ying Yang Twins,U.S.A. United State of Atlanta,2005
A Milli,Lil Wayne,Tha Carter III,2008
Lollipop,Lil Wayne,Tha Carter III,2008
Put On,Young Jeezy,The Recession,2008
Hypnotize,The Notorious B.I.G.,Life After Death,1997
Mo Money Mo Problems,The Notorious B.I.G.,Life After Death,1997
Nuthin' But A G Thang,Dr. Dre,The Chronic,1992
Let Me Ride,Dr. Dre,The Chronic,1992
Still D.R.E.,Dr. Dre,2001,1999
Forgot About Dre,Dr. Dre,2001,1999
Xxplosive,Dr. Dre,2001,1999
What's My Name?,Snoop Dogg,Doggystyle,1993
Gin and Juice,Snoop Dogg,Doggystyle,1993
Regulate,Warren G,Regulate... G Funk Era,1994
No Diggity,Blackstreet,Another Level,1996
Pony,Ginuwine,Ginuwine... The Bachelor,1996
Are You That Somebody?,Aaliyah,Dr. Dolittle,1998
One in a Million,Aaliyah,One in a Million,1996
No Scrubs,TLC,FanMail,1999
Get Ur Freak On,Missy Elliott,Miss E... So Addictive,2001
Work It,Missy Elliott,Under Construction,2002
Lose Control,Missy Elliott,The Cookbook,2005
Grindin',Clipse,Lord Willin',2002
Shake Ya Ass,Mystikal,Let's Get Ready,2000
Danger (Been So Long),Mystikal,Let's Get Ready,2000
Ruff Ryders' Anthem,DMX,It's Dark and Hell Is Hot,1998
Party Up,DMX,...And Then There Was X,1999
Simon Says,Pharoahe Monch,Internal Affairs,1999
Ante Up,M.O.P.,Warriorz,2000
B.O.B.,Outkast,Stankonia,2000
Ms. Jackson,Outkast,Stankonia,2000
So Fresh So Clean,Outkast,Stankonia,2000
The Way You Move,Outkast,Speakerboxxx/The Love Below,2003
Rosa Parks,Outkast,Aquemini,1998
Int'l Players Anthem,UGK,Underground Kingz,2007
Big Pimpin',JAY-Z,"Vol. 3... Life and Times of S. Carter",1999
Dirt Off Your Shoulder,JAY-Z,The Black Album,2003
99 Problems,JAY-Z,The Black Album,2003
In Da Club,50 Cent,Get Rich or Die Tryin',2003
P.I.M.P.,50 Cent,Get Rich or Die Tryin',2003
Candy Shop,50 Cent,The Massacre,2005
Just a Lil Bit,50 Cent,The Massacre,2005
Lean Back,Terror Squad,True Story,2004
Tipsy,J-Kwon,Hood Hop,2004
Yeah!,Usher,Confessions,2004
Freek-a-Leek,Petey Pablo,Still Writing in My Diary,2004
Get Back,Ludacris,The Red Light District,2004
Move Bitch,Ludacris,Word of Mouf,2001
Area Codes,Ludacris,Word of Mouf,2001
Stand Up,Ludacris,Chicken-n-Beer,2003
Still Tippin',Mike Jones,Who Is Mike Jones?,2005
Back Then,Mike Jones,Who Is Mike Jones?,2005
Sittin' Sidewayz,Paul Wall,The Peoples Champ,2005
Ridin',Chamillionaire,The Sound of Revenge,2005
Hustlin',Rick Ross,Port of Miami,2006
I'm So Hood,DJ Khaled,We the Best,2007
Low,Flo Rida,Mail on Sunday,2007
Cyclone,Baby Bash,Cyclone,2007
Crank That,Soulja Boy,Souljaboytellem.com,2007
Turn My Swag On,Soulja Boy,iSouljaBoyTellem,2008
Swing,Trae Tha Truth,Restless,2006
Shoulder Lean,Young Dro,Best Thang Smokin',2006
What You Know,T.I.,King,2006
Top Back,T.I.,King,2006
Rubber Band Man,T.I.,Trap Muzik,2003
U Don't Know Me,T.I.,Urban Legend,2004
No Hands,Waka Flocka Flame,Flockaveli,2010
Hard in Da Paint,Waka Flocka Flame,Flockaveli,2010
B.M.F. (Blowin' Money Fast),Rick Ross,Teflon Don,2010
6 Foot 7 Foot,Lil Wayne,Tha Carter IV,2011
Mercy,Kanye West,Cruel Summer,2012
Clique,Kanye West,Cruel Summer,2012
Black Skinhead,Kanye West,Yeezus,2013
Niggas in Paris,JAY-Z & Kanye West,Watch the Throne,2011
Power,Kanye West,My Beautiful Dark Twisted Fantasy,2010
Stronger,Kanye West,Graduation,2007
Monster,Kanye West,My Beautiful Dark Twisted Fantasy,2010
HUMBLE.,Kendrick Lamar,DAMN.,2017
DNA.,Kendrick Lamar,DAMN.,2017
m.A.A.d city,Kendrick Lamar,good kid m.A.A.d city,2012
Backseat Freestyle,Kendrick Lamar,good kid m.A.A.d city,2012
Swimming Pools (Drank),Kendrick Lamar,good kid m.A.A.d city,2012
Alright,Kendrick Lamar,To Pimp a Butterfly,2015
King Kunta,Kendrick Lamar,To Pimp a Butterfly,2015
Money Trees,Kendrick Lamar,good kid m.A.A.d city,2012
SICKO MODE,Travis Scott,ASTROWORLD,2018
goosebumps,Travis Scott,Birds in the Trap Sing McKnight,2016
Antidote,Travis Scott,Rodeo,2015
3500,Travis Scott,Rodeo,2015
No Bystanders,Travis Scott,ASTROWORLD,2018
Mask Off,Future,FUTURE,2017
March Madness,Future,56 Nights,2015
Low Life,Future,EVOL,2016
Where Ya At,Future,DS2,2015
Thought It Was a Drought,Future,DS2,2015
Jumpman,Drake & Future,What a Time to Be Alive,2015
Started From the Bottom,Drake,Nothing Was the Same,2013
Nonstop,Drake,Scorpion,2018
God's Plan,Drake,Scorpion,2018
Worst Behavior,Drake,Nothing Was the Same,2013
Hotline Bling,Drake,Views,2016
The Motto,Drake,Take Care,2011
Pop That,French Montana,Excuse My French,2013
No Type,Rae Sremmurd,SremmLife,2015
No Flex Zone,Rae Sremmurd,SremmLife,2015
Black Beatles,Rae Sremmurd,SremmLife 2,2016
Powerglide,Rae Sremmurd,SR3MM,2018
Bad and Boujee,Migos,Culture,2017
T-Shirt,Migos,Culture,2017
Fight Night,Migos,No Label II,2014
Versace,Migos,Y.R.N.,2013
Ric Flair Drip,Offset & Metro Boomin,Without Warning,2017
Congratulations,Post Malone,Stoney,2016
rockstar,Post Malone,beerbongs & bentleys,2018
Wow.,Post Malone,Hollywood's Bleeding,2019
XO TOUR Llif3,Lil Uzi Vert,Luv Is Rage 2,2017
Money Longer,Lil Uzi Vert,Lil Uzi Vert vs. The World,2016
Look At Me!,XXXTENTACION,Revenge,2017
Mo Bamba,Sheck Wes,MUDBOY,2018
Magnolia,Playboi Carti,Playboi Carti,2017
Wokeuplikethis*,Playboi Carti,Playboi Carti,2017
Bodak Yellow,Cardi B,Invasion of Privacy,2018
I Like It,Cardi B,Invasion of Privacy,2018
Money,Cardi B,Money,2018
Savage,Megan Thee Stallion,Suga,2020
Body,Megan Thee Stallion,Good News,2020
Big Ole Freak,Megan Thee Stallion,Tina Snow,2018
My Type,Saweetie,ICY,2019
Tap In,Saweetie,Pretty Bitch Music,2020
Super Bass,Nicki Minaj,Pink Friday,2010
Anaconda,Nicki Minaj,The Pinkprint,2014
Beez in the Trap,Nicki Minaj,Pink Friday: Roman Reloaded,2012
Plain Jane,A$AP Ferg,Still Striving,2017
Work REMIX,A$AP Ferg,Trap Lord,2013
Praise The Lord,A$AP Rocky,TESTING,2018
Wild for the Night,A$AP Rocky,LONG.LIVE.A$AP,2013
Peso,A$AP Rocky,LIVE.LOVE.A$AP,2011
Harlem Shake,Baauer,Harlem Shake,2012
