Title,Artist,Album,Year
My Prerogative,Bobby Brown,Don't Be Cruel,1988
Every Little Step,Bobby Brown,Don't Be Cruel,1988
Don't Be Cruel,Bobby Brown,Don't Be Cruel,1988
Roni,Bobby Brown,Don't Be Cruel,1988
Rock Wit'cha,Bobby Brown,Don't Be Cruel,1988
On Our Own,Bobby Brown,Ghostbusters II,1989
Humpin' Around,Bobby Brown,Bobby,1992
Good Enough,Bobby Brown,Bobby,1992
Get Away,Bobby Brown,Bobby,1992
Two Can Play That Game,Bobby Brown,Bobby,1992
I Want Her,Keith Sweat,Make It Last Forever,1987
Make It Last Forever,Keith Sweat,Make It Last Forever,1987
Something Just Ain't Right,Keith Sweat,Make It Last Forever,1987
Don't Stop Your Love,Keith Sweat,Make It Last Forever,1987
I'll Give All My Love to You,Keith Sweat,I'll Give All My Love to You,1990
Make You Sweat,Keith Sweat,I'll Give All My Love to You,1990
Merry Go Round,Keith Sweat,I'll Give All My Love to You,1990
Keep It Comin',Keith Sweat,Keep It Comin',1991
Why Me Baby?,Keith Sweat,Keep It Comin',1991
Twisted,Keith Sweat,Keith Sweat,1996
Nobody,Keith Sweat,Keith Sweat,1996
Groove Me,Guy,Guy,1988
Teddy's Jam,Guy,Guy,1988
I Like,Guy,Guy,1988
Piece of My Love,Guy,Guy,1988
Spend the Night,Guy,Guy,1988
Wanna Get with U,Guy,The Future,1990
Let's Chill,Guy,The Future,1990
D-O-G Me Out,Guy,The Future,1990
Do Me!,Bell Biv DeVoe,Poison,1990
Poison,Bell Biv DeVoe,Poison,1990
B.B.D. (I Thought It Was Me)?,Bell Biv DeVoe,Poison,1990
When Will I See You Smile Again?,Bell Biv DeVoe,Poison,1990
She's Dope!,Bell Biv DeVoe,Poison,1990
Sensitivity,Ralph Tresvant,Ralph Tresvant,1990
Stone Cold Gentleman,Ralph Tresvant,Ralph Tresvant,1990
Do What I Gotta Do,Ralph Tresvant,Ralph Tresvant,1990
Rub You the Right Way,Johnny Gill,Johnny Gill,1990
My My My,Johnny Gill,Johnny Gill,1990
Fairweather Friend,Johnny Gill,Johnny Gill,1990
Wrap My Body Tight,Johnny Gill,Johnny Gill,1990
Can You Stand the Rain,New Edition,Heart Break,1988
If It Isn't Love,New Edition,Heart Break,1988
You're Not My Kind of Girl,New Edition,Heart Break,1988
N.E. Heart Break,New Edition,Heart Break,1988
Crucial,New Edition,Heart Break,1988
Candy Girl,New Edition,Candy Girl,1983
Cool It Now,New Edition,New Edition,1984
Mr. Telephone Man,New Edition,New Edition,1984
Spread My Wings,Troop,Attitude,1989
All I Do Is Think of You,Troop,Attitude,1989
