Title,Artist,Album,Year
Born to Be Wild,Steppenwolf,Steppenwolf,1968
Radar Love,Golden Earring,Moontan,1973
Go Your Own Way,Fleetwood Mac,Rumours,1977
Running on Empty,Jackson Browne,Running on Empty,1977
Life in the Fast Lane,Eagles,Hotel California,1976
Take It Easy,Eagles,Eagles,1972
Runnin' Down a Dream,Tom Petty,Full Moon Fever,1989
You Wreck Me,Tom Petty,Wildflowers,1994
The Boys of Summer,Don Henley,Building the Perfect Beast,1984
On the Road Again,Willie Nelson,Honeysuckle Rose,1980
Ventura Highway,America,Homecoming,1972
Listen to the Music,The Doobie Brothers,Toulouse Street,1972
Long Train Runnin',The Doobie Brothers,The Captain and Me,1973
Hollywood Nights,Bob Seger & The Silver Bullet Band,Stranger in Town,1978
Roll Me Away,Bob Seger & The Silver Bullet Band,The Distance,1982
Free Ride,The Edgar Winter Group,They Only Come Out at Night,1972
Highway Star,Deep Purple,Machine Head,1972
Slow Ride,Foghat,Fool for the City,1975
La Grange,ZZ Top,Tres Hombres,1973
Gimme All Your Lovin',ZZ Top,Eliminator,1983
Panama,Van Halen,1984,1984
Hot for Teacher,Van Halen,1984,1984
Kickstart My Heart,Mötley Crüe,Dr. Feelgood,1989
Pour Some Sugar on Me,Def Leppard,Hysteria,1987
Rock You Like a Hurricane,Scorpions,Love at First Sting,1984
Round and Round,Ratt,Out of the Cellar,1984
Youth Gone Wild,Skid Row,Skid Row,1989
Here I Go Again,Whitesnake,Whitesnake,1987
You Give Love a Bad Name,Bon Jovi,Slippery When Wet,1986
Summer of '69,Bryan Adams,Reckless,1984
The Power of Love,Huey Lewis & The News,Fore!,1986
Don't You (Forget About Me),Simple Minds,Once Upon a Time,1985
Everybody Wants to Rule the World,Tears for Fears,Songs from the Big Chair,1985
Just Can't Get Enough,Depeche Mode,Speak & Spell,1981
Walking on Sunshine,Katrina and the Waves,Walking on Sunshine,1985
Vacation,The Go-Go's,Vacation,1982
Our Lips Are Sealed,The Go-Go's,Beauty and the Beat,1981
What I Like About You,The Romantics,The Romantics,1980
Should I Stay or Should I Go,The Clash,Combat Rock,1982
Blister in the Sun,Violent Femmes,Violent Femmes,1983
Just Like Heaven,The Cure,Kiss Me Kiss Me Kiss Me,1987
The One I Love,R.E.M.,Document,1987
Interstate Love Song,Stone Temple Pilots,Purple,1994
My Own Worst Enemy,Lit,A Place in the Sun,1999
All the Small Things,Blink-182,Enema of the State,1999
Are You Gonna Go My Way,Lenny Kravitz,Are You Gonna Go My Way,1993
Song 2,Blur,Blur,1997
Learn to Fly,Foo Fighters,There Is Nothing Left to Lose,1999
Drive,Incubus,Make Yourself,1999
Life Is a Highway,Tom Cochrane,Mad Mad World,1991
Sweet Home Alabama,Lynyrd Skynyrd,Second Helping,1974
Ramblin' Man,The Allman Brothers Band,Brothers and Sisters,1973
Jessica,The Allman Brothers Band,Brothers and Sisters,1973
Midnight Rider,The Allman Brothers Band,Idlewild South,1970
Truckin',Grateful Dead,American Beauty,1970
Me and Bobby McGee,Janis Joplin,Pearl,1971
Can't You See,The Marshall Tucker Band,The Marshall Tucker Band,1973
Flirtin' with Disaster,Molly Hatchet,Flirtin' with Disaster,1979
Rockin' Down the Highway,The Doobie Brothers,Toulouse Street,1972
Roadhouse Blues,The Doors,Morrison Hotel,1970
L.A. Woman,The Doors,L.A. Woman,1971
Peace Frog,The Doors,Morrison Hotel,1970
Bad to the Bone,George Thorogood & The Destroyers,Bad to the Bone,1982
Move It on Over,George Thorogood & The Destroyers,Move It on Over,1978
Tush,ZZ Top,Fandango!,1975
Sharp Dressed Man,ZZ Top,Eliminator,1983
Don't Stop Believin',Journey,Escape,1981
Any Way You Want It,Journey,Departure,1980
