Title,Artist
Fireball,Pitbull
Jump Around,House of Pain
Walking on Sunshine,Katrina & The Waves
Party Rock Anthem,LMFAO
You Shook Me All Night Long,AC/DC
This Is How We Do It,Montell Jordan
Vacation,The Go-Go's
Uptown Funk,Mark Ronson feat. Bruno Mars
The Rock Show,blink-182
Yeah!,Usher
Panama,Van Halen
California Gurls,Katy Perry
Hot in Herre,Nelly
We Got the Beat,The Go-Go's
Low,Flo Rida
Pour Some Sugar on Me,Def Leppard
Get Low,Lil Jon & The East Side Boyz
Summer,Calvin Harris
Poison,Bell Biv DeVoe
Let's Go Crazy,Prince
Cake by the Ocean,DNCE
The Impression That I Get,The Mighty Mighty Bosstones
I Gotta Feeling,The Black Eyed Peas
Kickstart My Heart,Motley Crue
Miami,Will Smith
Tik Tok,Kesha
All the Small Things,blink-182
Good Vibrations,Marky Mark and the Funky Bunch
Mony Mony,Billy Idol
Levitating,Dua Lipa
Baby Got Back,Sir Mix-A-Lot
Nothin' but a Good Time,Poison
Dynamite,Taio Cruz
Bust a Move,Young MC
Wake Me Up,Avicii
Sell Out,Reel Big Fish
California Love,2Pac
Girls Just Want to Have Fun,Cyndi Lauper
Don't Start Now,Dua Lipa
Tubthumping,Chumbawamba
Push It,Salt-N-Pepa
Paradise City,Guns N' Roses
24K Magic,Bruno Mars
It Takes Two,Rob Base & DJ EZ Rock
What's My Age Again?,blink-182
Into the Groove,Madonna
Ride Wit Me,Nelly
Livin' on a Prayer,Bon Jovi
Groove Is in the Heart,Deee-Lite
Hey Ya!,Outkast
Down,311
The Power,Snap!
You Spin Me Round (Like a Record),Dead or Alive
Whoomp! (There It Is),Tag Team
Fat Lip,Sum 41
1999,Prince
Rump Shaker,Wreckx-N-Effect
Rock You Like a Hurricane,Scorpions
Finally,CeCe Peniston
Take On Me,Reel Big Fish
Blinding Lights,The Weeknd
The Humpty Dance,Digital Underground
We're Not Gonna Take It,Twisted Sister
Pump Up the Jam,Technotronic
Santeria,Sublime
Everybody Have Fun Tonight,Wang Chung
Return of the Mack,Mark Morrison
Cherry Pie,Warrant
Rhythm Is a Dancer,Snap!
Shut Up and Dance,WALK THE MOON
Wild Thing,Tone Loc
Beautiful Disaster,311
Man! I Feel Like a Woman!,Shania Twain
Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory
Song 2,Blur
You Give Love a Bad Name,Bon Jovi
No Diggity,Blackstreet
Good as Hell,Lizzo
Beer,Reel Big Fish
Jump,Kris Kross
Everybody Everybody,Black Box
Are You Gonna Be My Girl,Jet
The Bad Touch,Bloodhound Gang
Dancing with Myself,Billy Idol
Feel It Still,Portugal. The Man
Caress Me Down,Sublime
Good Time,Alan Jackson
Get Down Tonight,KC and the Sunshine Band
Move Along,The All-American Rejects
Save a Horse (Ride a Cowboy),Big & Rich
Rock the Casbah,The Clash
Can't Stop the Feeling!,Justin Timberlake
Superman,Goldfinger
Boot Scootin' Boogie,Brooks & Dunn
The Anthem,Good Charlotte
Electric Avenue,Eddy Grant
My Own Worst Enemy,Lit
The Safety Dance,Men Without Hats
A Bar Song (Tipsy),Shaboozey
All My Best Friends Are Metalheads,Less Than Jake
September,Earth Wind & Fire
Drunk on a Plane,Dierks Bentley
What I Like About You,The Romantics
Butterfly,Crazy Town
Watermelon Crawl,Tracy Byrd
The Middle,Jimmy Eat World
Hot Hot Hot,Buster Poindexter
Girls Girls Girls,Motley Crue
Cruise,Florida Georgia Line
The Distance,Cake
Dude (Looks Like a Lady),Aerosmith
Play That Funky Music,Wild Cherry
My Friends Over You,New Found Glory
Somewhere on a Beach,Dierks Bentley
Spiderwebs,No Doubt
Boogie Shoes,KC and the Sunshine Band
Cum on Feel the Noize,Quiet Riot
Chattahoochee,Alan Jackson
Semi-Charmed Life,Third Eye Blind
Bad Boys,Inner Circle
Centerfold,The J. Geils Band
Pontoon,Little Big Town
Time Bomb,Rancid
You Should Be Dancing,Bee Gees
The Power of Love,Huey Lewis & The News
That's My Kind of Night,Luke Bryan
Ocean Avenue,Yellowcard
Murder She Wrote,Chaka Demus & Pliers
Any Way You Want It,Journey
Barefoot Blue Jean Night,Jake Owen
Flagpole Sitta,Harvey Danger
Shake Your Booty,KC and the Sunshine Band
Jessie's Girl,Rick Springfield
Body Like a Back Road,Sam Hunt
Here in Your Bedroom,Goldfinger
Pass the Dutchie,Musical Youth
Working for the Weekend,Loverboy
Chicken Fried,Zac Brown Band
Sugar We're Goin Down,Fall Out Boy
Sweat (A La La La La Long),Inner Circle
Everybody Wants You,Billy Squier
Sun Daze,Florida Georgia Line
Ruby Soho,Rancid
Take on Me,a-ha
What I Got,Sublime
Here for a Good Time,George Strait
All Star,Smash Mouth
Informer,Snow
Hungry Like the Wolf,Duran Duran
Beer in Mexico,Kenny Chesney
Inside Out,Eve 6
Just Can't Get Enough,Depeche Mode
My Sweet Summer,Dirty Heads
Life Is a Highway,Tom Cochrane
The Heat Is On,Glenn Frey
Old Time Rock and Roll,Bob Seger & The Silver Bullet Band
Dancing in the Street,Martha Reeves & The Vandellas
The Tide Is High,Blondie
Twist and Shout,The Beatles
You May Be Right,Billy Joel
Walkin' on the Sun,Smash Mouth
Love Shack,The B-52's
Steal My Sunshine,Len
Born to Be Wild,Steppenwolf
I Saw Her Standing There,The Beatles
Shake It Up,The Cars
The Boys of Summer,Don Henley
Don't Bring Me Down,Electric Light Orchestra
