Title,Artist,Album,Year
Mexican Radio,Wall of Voodoo,Call of the West,1982
Dead Man's Party,Oingo Boingo,Dead Man's Party,1985
Just Another Day,Oingo Boingo,Dead Man's Party,1985
Only a Lad,Oingo Boingo,Only a Lad,1981
No One Lives Forever,Oingo Boingo,Dead Man's Party,1985
Weird Science,Oingo Boingo,Dead Man's Party,1985
Private Life,Oingo Boingo,Nothing to Fear,1982
Grey Matter,Oingo Boingo,Nothing to Fear,1982
The Killing Moon,Echo & the Bunnymen,Ocean Rain,1984
Bring on the Dancing Horses,Echo & the Bunnymen,Songs to Learn & Sing,1985
Lips Like Sugar,Echo & the Bunnymen,Echo & the Bunnymen,1987
The Cutter,Echo & the Bunnymen,Porcupine,1983
Never Say Never,Romeo Void,Benefactor,1982
A Girl in Trouble (Is a Temporary Thing),Romeo Void,Instincts,1984
Just Like Heaven,The Cure,Kiss Me Kiss Me Kiss Me,1987
In Between Days,The Cure,The Head on the Door,1985
Close to Me,The Cure,The Head on the Door,1985
Pictures of You,The Cure,Disintegration,1989
Lovesong,The Cure,Disintegration,1989
Fascination Street,The Cure,Disintegration,1989
Why Can't I Be You?,The Cure,Kiss Me Kiss Me Kiss Me,1987
A Forest,The Cure,Seventeen Seconds,1980
Personal Jesus,Depeche Mode,Violator,1989
Strangelove,Depeche Mode,Music for the Masses,1987
Never Let Me Down Again,Depeche Mode,Music for the Masses,1987
People Are People,Depeche Mode,Some Great Reward,1984
Just Can't Get Enough,Depeche Mode,Speak & Spell,1981
Blue Monday,New Order,Power Corruption & Lies,1983
Bizarre Love Triangle,New Order,Brotherhood,1986
True Faith,New Order,Substance,1987
Age of Consent,New Order,Power Corruption & Lies,1983
Temptation,New Order,Substance,1987
Ceremony,New Order,Movement,1981
Love Will Tear Us Apart,Joy Division,Love Will Tear Us Apart,1980
Transmission,Joy Division,Transmission,1979
This Charming Man,The Smiths,The Smiths,1984
How Soon Is Now?,The Smiths,Meat Is Murder,1985
There Is a Light That Never Goes Out,The Smiths,The Queen Is Dead,1986
Bigmouth Strikes Again,The Smiths,The Queen Is Dead,1986
Panic,The Smiths,The World Won't Listen,1986
Girlfriend in a Coma,The Smiths,Strangeways Here We Come,1987
Suedehead,Morrissey,Viva Hate,1988
Everyday Is Like Sunday,Morrissey,Viva Hate,1988
Love My Way,The Psychedelic Furs,Forever Now,1982
Pretty in Pink,The Psychedelic Furs,Talk Talk Talk,1981
The Ghost in You,The Psychedelic Furs,Mirror Moves,1984
Heaven,The Psychedelic Furs,Mirror Moves,1984
President Gas,The Psychedelic Furs,Forever Now,1982
I Melt with You,Modern English,After the Snow,1982
