Title,Artist,Album,Year
Walking in L.A.,Missing Persons,Spring Session M,1982
Words,Missing Persons,Spring Session M,1982
Destination Unknown,Missing Persons,Spring Session M,1982
Mental Hopscotch,Missing Persons,Spring Session M,1982
Johnny Are You Queer?,Josie Cotton,Convertible Music,1982
He Could Be the One,Josie Cotton,Convertible Music,1982
Johnny Come Home,Fine Young Cannibals,Fine Young Cannibals,1985
Suspicious Minds,Fine Young Cannibals,Fine Young Cannibals,1985
Birds Fly (Whisper to a Scream),The Icicle Works,The Icicle Works,1984
Understanding Jane,The Icicle Works,If You Want to Defeat Your Enemy Sing His Song,1986
Dancing with Peter Pan's Shadow,Faith Brothers,Eventide,1985
Away,The Bolshoi,Friends,1986
Sunday Morning,The Bolshoi,Friends,1986
A Way,The Bolshoi,Friends,1986
Desire,Gene Loves Jezebel,Discover,1986
Motion of Love,Gene Loves Jezebel,The House of Dolls,1987
The Motion of Love,Gene Loves Jezebel,The House of Dolls,1987
World Shut Your Mouth,Julian Cope,Saint Julian,1987
Trampolene,Julian Cope,Saint Julian,1987
Charlotte Anne,Julian Cope,My Nation Underground,1988
The Great Commandment,Camouflage,Voices & Images,1987
Love Is a Shield,Camouflage,Methods of Silence,1989
That Smiling Face,Camouflage,Voices & Images,1988
The Promise You Made,Cock Robin,Cock Robin,1985
When Your Heart Is Weak,Cock Robin,Cock Robin,1985
More Than This,Roxy Music,Avalon,1982
Avalon,Roxy Music,Avalon,1982
Same Old Scene,Roxy Music,Flesh + Blood,1980
The Lebanon,The Human League,Hysteria,1984
Fascination,The Human League,Fascination!,1983
The Things That Dreams Are Made Of,The Human League,Dare,1981
Love Plus One,Haircut 100,Pelican West,1982
Favourite Shirts (Boy Meets Girl),Haircut 100,Pelican West,1981
Always Something There to Remind Me,Naked Eyes,Burning Bridges,1983
When the Lights Go Out,Naked Eyes,Burning Bridges,1983
The Safety Dance,Men Without Hats,Rhythm of Youth,1982
Pop Goes the World,Men Without Hats,Pop Goes the World,1987
I Got You,Split Enz,True Colours,1980
One Step Ahead,Split Enz,Waiata,1981
History Never Repeats,Split Enz,Waiata,1981
Six Months in a Leaky Boat,Split Enz,Time and Tide,1982
Message to My Girl,Split Enz,Conflicting Emotions,1983
Don't Go Back to Rockville,R.E.M.,Reckoning,1984
Can't Get There from Here,R.E.M.,Fables of the Reconstruction,1985
Superman,R.E.M.,Lifes Rich Pageant,1986
Finest Worksong,R.E.M.,Document,1987
Pop Song 89,R.E.M.,Green,1988
Charlotte Sometimes,The Cure,Charlotte Sometimes,1981
Let's Go to Bed,The Cure,Japanese Whispers,1982
The Walk,The Cure,Japanese Whispers,1983
The Lovecats,The Cure,Japanese Whispers,1983
A Night Like This,The Cure,The Head on the Door,1985
Catch,The Cure,Kiss Me Kiss Me Kiss Me,1987
Hot Hot Hot!!!,The Cure,Kiss Me Kiss Me Kiss Me,1987
Shake the Disease,Depeche Mode,The Singles 81>85,1985
Master and Servant,Depeche Mode,Some Great Reward,1984
Blasphemous Rumours,Depeche Mode,Some Great Reward,1984
A Question of Time,Depeche Mode,Black Celebration,1986
Behind the Wheel,Depeche Mode,Music for the Masses,1987
Everything Counts,Depeche Mode,Construction Time Again,1983
Dreaming of Me,Depeche Mode,Speak & Spell,1981
New Life,Depeche Mode,Speak & Spell,1981
Shellshock,New Order,Substance,1987
Thieves Like Us,New Order,Substance,1987
The Perfect Kiss,New Order,Low-Life,1985
Sub-culture,New Order,Low-Life,1985
1963,New Order,Substance,1987
State of the Nation,New Order,Substance,1987
All in My Mind,Love and Rockets,Express,1986
Yin and Yang (The Flowerpot Man),Love and Rockets,Express,1986
Mirror People,Love and Rockets,Earth Sun Moon,1987
Kundalini Express,Love and Rockets,Express,1986
Telegram Sam,Bauhaus,In the Flat Field,1980
Kick in the Eye,Bauhaus,Mask,1981
The Passion of Lovers,Bauhaus,Mask,1981
Dark Entries,Bauhaus,In the Flat Field,1980
Cuts You Up,Peter Murphy,Deep,1989
Indigo Eyes,Peter Murphy,Love Hysteria,1988
Strange Kind of Love,Peter Murphy,Deep,1989
Tower of Strength,The Mission,Children,1988
Wasteland,The Mission,God's Own Medicine,1986
Deliverance,The Mission,Carved in Sand,1989
Rain,The Cult,Love,1985
Revolution,The Cult,Love,1985
Resurrection Joe,The Cult,Love,1985
Spiritwalker,The Cult,Dreamtime,1984
Edie (Ciao Baby),The Cult,Sonic Temple,1989
Christine,Siouxsie and the Banshees,Kaleidoscope,1980
Israel,Siouxsie and the Banshees,Israel,1980
Arabian Knights,Siouxsie and the Banshees,Juju,1981
Dazzle,Siouxsie and the Banshees,Hyæna,1984
Cities in Dust,Siouxsie and the Banshees,Tinderbox,1986
The Killing Jar,Siouxsie and the Banshees,Peepshow,1988
Head Cut,Siouxsie and the Banshees,A Kiss in the Dreamhouse,1982
Headhunter,Front 242,Front by Front,1988
Welcome to Paradise,Front 242,Official Version,1987
Join in the Chant,Nitzer Ebb,That Total Age,1987
Control I'm Here,Nitzer Ebb,Belief,1989
Sensoria,Cabaret Voltaire,Micro-Phonies,1984
Just Fascination,Cabaret Voltaire,The Crackdown,1983
Every Day Is Halloween,Ministry,Twelve Inch Singles,1984
All Day,Ministry,Twitch,1986
Stigmata,Ministry,The Land of Rape and Honey,1988
Dig It,Skinny Puppy,Mind: The Perpetual Intercourse,1986
Assimilate,Skinny Puppy,Bites,1985
Godlike,KMFDM,Godlike,1989
The Model,Kraftwerk,The Man-Machine,1978
Numbers,Kraftwerk,Computer World,1981
Computer Love,Kraftwerk,Computer World,1981
Tour de France,Kraftwerk,Tour de France,1983
Nemesis,Shriekback,Oil & Gold,1985
My Spine Is the Bassline,Shriekback,Tench,1982
Lined Up,Shriekback,Care,1983
Swamp Thing,The Chameleons,Strange Times,1986
Up the Down Escalator,The Chameleons,Script of the Bridge,1983
Don't Fall,The Chameleons,Script of the Bridge,1983
Tears,The Chameleons,Strange Times,1986
April Skies,The Jesus and Mary Chain,Darklands,1987
Head On,The Jesus and Mary Chain,Automatic,1989
Just Like Honey,The Jesus and Mary Chain,Psychocandy,1985
Happy When It Rains,The Jesus and Mary Chain,Darklands,1987
The Hardest Walk,The Jesus and Mary Chain,Psychocandy,1985
Christine,The House of Love,The House of Love,1988
Shine On,The House of Love,The House of Love,1987
Destroy the Heart,The House of Love,The House of Love,1988
Sweet Jane,Cowboy Junkies,The Trinity Session,1988
A New England,Billy Bragg,Life's a Riot with Spy vs Spy,1983
Greetings to the New Brunette,Billy Bragg,Talking with the Taxman About Poetry,1986
Levi Stubbs' Tears,Billy Bragg,Talking with the Taxman About Poetry,1986
Ana Ng,They Might Be Giants,Lincoln,1988
Don't Let's Start,They Might Be Giants,They Might Be Giants,1986
Purple Toupee,They Might Be Giants,Lincoln,1988
Mayor of Simpleton,XTC,Oranges & Lemons,1989
Dear God,XTC,Skylarking,1986
Senses Working Overtime,XTC,English Settlement,1982
Generals and Majors,XTC,Black Sea,1980
Making Plans for Nigel,XTC,Drums and Wires,1979
The Mayor of Simpleton,XTC,Oranges & Lemons,1989
Crash,The Primitives,Lovely,1988
Way Behind Me,The Primitives,Pure,1989
Like the Weather,10,000 Maniacs,In My Tribe,1987
What's the Matter Here?,10,000 Maniacs,In My Tribe,1987
Trouble Me,10,000 Maniacs,Blind Man's Zoo,1989
Between Something and Nothing,The Ocean Blue,The Ocean Blue,1989
Drifting Falling,The Ocean Blue,The Ocean Blue,1989
Everywhere I Go,The Call,Reconciled,1986
I Still Believe (Great Design),The Call,Reconciled,1986
The Walls Came Down,The Call,Modern Romans,1983
Strength,The Alarm,Strength,1985
Absolute Reality,The Alarm,Strength,1985
Rescue Me,The Alarm,Eye of the Hurricane,1987
